name,dynasty_pick,pos,school,card_built,data_flag,star_pts,star_reb,star_ast,star_stl,star_blk,star_fg,star_ft,star_3pm,star_to,gp,ppg,rpg,apg,spg,bpg,topg,fg_pct,ft_pct,tpm_pg,three_pct,age,mpg,height_in,sos,team_strength,international,rec_rank,dynasty_verdict
Hannes Steinbach,1.11,F/C,WASH,YES,,3,5,3,3,4,5,3,1,2,30,18.5,11.8,1.6,1.07,1.23,2.0,57.7,75.9,0.6,34.0,19.7,34.7,83,6.2,7.8,1,99.0,"Elite REB and elite FG% on volume — two genuine category anchors. Best rebounder in the class minute-for-minute. A strong, physical frontcourt presence who brings interior balance and positional strength that complements more rangy lineups."
Dailyn Swain,1.12,F/C,TEX,YES,,3,4,3,5,2,4,4,3,2,35,17.3,7.5,3.6,1.63,0.31,2.7,53.6,81.3,0.9,34.8,20.5,32.8,80,7.4,10.2,0,82.4,"Elite STL — a class-leading defensive rate. A lengthy wing who brings essential creation against tough, athletic defences — the size and secondary playmaking are the dynasty calling cards. SEC Newcomer of the Year. At 20 years old the dynasty runway is real."
Darius Acuff Jr.,1.13,G,ARK,YES,,5,2,5,1,2,3,4,5,3,36,23.5,3.1,6.4,0.83,0.31,2.2,48.4,80.9,2.5,44.0,19.3,35.1,75,8.7,13.7,0,98.4,"Elite PTS, elite AST and elite 3PM on high volume — three category pillars. A 2.97 AST/TO ratio — the most efficient high-volume playmaker in the class. One of the deepest multi-cat elite profiles in the class."
Yaxel Lendeborg,1.14,F/C,MICH,YES,,3,3,3,3,4,3,4,5,4,40,15.1,6.8,3.2,1.12,1.23,1.1,51.5,82.4,1.7,37.2,23.3,30.1,81,10.0,22.6,0,,"Elite 3PM — a rare shooting profile for a forward of his size. A sizable wing who excels in transition with high-level shooting and passing — a genuine multi-tool forward. Age 23.3 is the dynasty runway concern — the production is real, the timeline is short."
Allen Graves,1.15,F/C,SCU,YES,,3,4,3,5,4,3,3,4,4,34,11.8,6.5,1.8,1.91,0.94,0.7,51.4,75.0,1.1,40.7,20.3,22.6,81,4.1,10.6,0,,Elite STL — the most elite steal rate in the class. A chaos creator with phenomenal feel — exceptional on the offensive glass with the size and physicality to impact every possession. Historic multi-cat defensive production for a wing. SOS caveat: Santa Clara is not a P6 programme.
Cameron Carr,1.16,G/F,BAY,YES,,3,3,3,2,4,3,4,5,3,33,18.9,5.8,2.6,0.88,1.33,2.4,48.6,80.5,2.3,37.6,21.2,33.7,77,7.3,8.2,0,88.8,Elite 3PM — a class-leading shooting volume profile. An athletic movement shooter who is also an exceptional shot-blocker for a wing — a rare combination of spacing and defensive versatility. NBA translation thesis is built on shooting and shot-blocking.
Brayden Burries,1.17,G/F,ARIZ,YES,,3,3,3,5,1,3,4,5,4,39,16.1,4.9,2.4,1.51,0.21,1.5,49.1,80.5,1.8,39.1,20.4,29.8,76,8.3,21.2,0,98.2,"Elite STL and elite 3PM — two category pillars that punch above the consensus ranking. A reliable, dependable guard — the ideal third option who brings depth and ball-handling stability to any backcourt. Consistent multi-contributor floor."
Bennett Stirtz,1.18,G,IOWA,YES,,3,2,4,3,1,3,4,4,3,37,19.8,2.6,4.4,1.38,0.24,1.8,47.7,84.8,2.5,35.8,22.3,37.7,76,6.8,12.8,0,,A crafty creator with pull-up shooting and real scoring juice off the dribble — alleviates pressure from primary initiators in a way that doesn't always show in the stat line. Age 22 compresses the dynasty runway but the category floor is real.
Christian Anderson,1.19,G,TTU,YES,,3,2,5,4,1,3,4,5,1,33,18.5,3.6,7.4,1.45,0.24,3.3,47.2,80.5,3.3,41.5,19.8,38.4,75,8.8,13.3,0,76.6,Elite AST and elite 3PM — two category pillars. The most prolific assist creator in the class and arguably its best shooter — elite pull-up ability and pick-and-roll craft that few guards in this draft can match. Specialist profile.
Nate Ament,1.20,F/C,TEN,YES,,3,3,3,3,3,2,3,2,2,35,16.7,6.3,2.3,0.97,0.63,2.3,39.9,79.0,1.3,33.3,19.1,29.7,82,8.5,14.7,0,99.4,A gigantic wing with undeniable shotmaking off movement — the strength and physicality to impose himself have improved significantly. Draws fouls at high volume — the scoring has room to grow if the shot diet evolves at NBA level. A development play.
Morez Johnson Jr.,1.21,F/C,MICH,YES,,3,4,2,2,4,5,3,1,3,40,13.1,7.3,1.2,0.68,1.1,1.3,62.3,78.2,0.3,34.3,20.0,25.1,81,10.0,22.6,0,94.2,Elite FG% at 62.3% — a genuine category anchor. An explosive athlete with high-level rim protection and interior defence — one of the premier frontcourt defensive prospects in this range. Minutes-suppressed at Michigan. The buy-low case is real.
Jayden Quaintance,1.22,C,KEN,YES,INSUF_DATA — 4gp / 67min — stars from scouting card not model,2,4,2,3,5,3,1,2,3,4,5.0,5.0,0.5,0.5,0.75,1.5,57.1,30.8,0.0,0,18.5,16.8,83,10.4,11.9,0,98.6,"Elite BLK — a genuine category anchor from scouting context. Special flashes throughout — a slasher, play finisher and secondary passer with massive defensive potential. Only 4 games played due to injury — ratings from scouting, not season stats. The upside is elite. The data isn't there yet."
Zuby Ejiofor,1.23,F/C,SJU,YES,,3,4,3,4,5,4,2,1,3,37,16.3,7.3,3.5,1.16,2.14,2.1,53.6,71.8,0.5,30.5,21.8,30.0,81,7.2,15.0,0,89.4,Elite BLK — a genuine category anchor. A versatile big who brings utility as a handler and passer — has shown constant improvement at every level. Draws fouls at high volume. Dynasty buy on the rim protection.
Karim Lopez,1.24,F/C,ME,YES,NBL — competition discount applied to all counting stats,2,3,3,3,3,3,2,2,2,31,11.9,6.1,2.0,1.2,1.0,2.0,50.2,70.0,0.9,31.8,19.0,25.5,81,,,1,,"NBL Next Stars pathway — same programme that produced LaMelo Ball, Josh Giddey and Alex Sarr. A developmental wing with improved shooting and solid ball skills — the physical strength and athleticism for a versatile two-way role are already visible. 6'9"" with 7'1"" wingspan. Youngest wing in the class at 19.0. Pure ceiling bet."
Tarris Reed Jr.,1.25,C,UCONN,YES,,3,5,3,3,5,5,1,1,3,35,14.7,9.0,2.4,0.9,2.1,1.9,60.7,61.7,0.0,0.0,22.6,27.3,83,9.2,,0,,"Elite REB, elite BLK and elite FG% at 60.7% — three genuine category anchors. A traditional center who imposes a physical edge and brings size and strength that impacts every possession. NCAA Tournament East Region MOP: 19.5 PPG and 13.2 RPG over 6 games. Age 22.6 compresses the runway."
Meleek Thomas,1.26,G,ARK,YES,,3,2,3,5,1,2,4,5,4,37,15.6,3.8,2.5,1.54,0.19,1.0,43.5,84.3,2.2,41.6,19.5,30.5,77,8.1,13.7,0,98.0,"Elite STL and elite 3PM — two category pillars. An excellent complementary player with a unique shotmaking touch — outstanding off-ball defence, movement skills and an innate ability to jump passing lanes. A low-noise, high-value profile."
Richie Saunders,1.27,G/W,BYU,N,,4,3,3,5,2,3,4,5,3,25,18.0,5.8,2.1,1.7,0.3,1.6,48.9,81.7,2.6,37.6,24.3,31.3,77,6.6,,0,,Elite STL and elite 3PM — two category pillars. A hyper-efficient role player with a relentless motor and high-percentage perimeter shooting that translates to any system. The defensive activity and shooting consistency are exactly what contending rosters need. Age 24.3 compresses the dynasty runway but the production is immediate.
Isaiah Evans,1.28,G/F,DUKE,YES,,3,2,2,2,3,2,4,4,4,38,15.0,3.2,1.3,0.71,0.66,1.1,43.3,86.0,2.7,36.1,20.1,28.2,78,8.2,22.6,0,97.2,"A tough, physical movement shooter whose grit and competitiveness stand out on tape — shoots more threes per minute than anyone in the class. The dynasty floor rises and falls with three-point shooting."
Koa Peat,1.29,F/C,ARIZ,YES,,3,3,3,1,3,4,1,1,3,36,14.1,5.6,2.6,0.64,0.69,1.6,52.8,62.3,0.2,35.0,19.0,27.8,80,8.0,21.2,0,98.6,A physical presence with real strength and rebounding — shows flashes of mid-range touch and the ability to impact games through interior physicality. A physicality-and-scoring development play.
Henri Veesaar,1.30,C,UNC,N,,4,4,3,1,4,5,1,4,3,31,17.0,8.7,2.1,0.6,1.2,1.5,60.8,62.0,1.3,43.0,22.0,31.3,84,,,1,,"Elite FG% at 60.8% — a 7'0"" stretch big who shot 43% from three on nearly 100 attempts and posted 13 double-doubles. A skilled, mobile center with a soft shooting touch from mid-range and beyond the arc — fits the inside-out template every roster is hunting for. The shooting at his size is the dynasty calling card."
Dillon Mitchell,1.31,F,SJU,N,,2,4,3,4,4,5,1,1,4,35,8.3,7.0,3.0,1.4,0.7,0.9,55.9,62.0,0.2,29.4,22.0,28.0,80,,,0,,"Elite FG% — finishes everything at the rim and almost never settles for jumpers. A relentless motor on the glass and a surprisingly gifted connective passer for a forward, with an assist-to-turnover ratio that ranked top-15 nationally. The rebounding, steals and efficiency travel. A glue-guy profile that wins category weeks without needing the ball."
Ja'Kobi Gillespie,1.32,G,TENN,N,,3,2,4,4,2,2,4,4,2,38,18.4,2.8,5.4,2.1,0.2,2.5,41.0,81.0,2.9,34.0,22.2,34.8,73,,,0,,"Set Tennessee's single-season steals record (79) and became the first player in SEC history with 200 assists and 100 made threes in a season. A microwave lead guard with deep range and quick hands, the rare profile that anchors both the assist and steal columns while chipping in triples and free-throw percentage. Size is the NBA question; the category production is not."
Ryan Conwell,1.33,G,LOU,N,,4,2,3,3,1,1,4,4,3,38,18.8,4.8,2.7,1.1,0.2,2.0,41.0,83.0,3.4,35.0,22.0,30.9,76,,,0,,"One of the highest three-point volumes in the country at nearly 10 attempts per game, paired with a reliable 83% from the line. A pure movement shooter who lives at the rim and beyond the arc, almost never settling for long twos. The shooting gravity and free-throw efficiency are the dynasty anchors. A specialist whose one elite skill is the most portable in the modern game."
Joshua Jefferson,1.34,F,ISU,N,,3,3,5,5,4,3,2,3,3,35,16.4,7.4,4.8,1.6,0.8,2.5,47.1,70.0,1.0,34.5,22.5,30.9,80,,,0,,"Elite AST and elite STL — a 6'8"", 246-pound point-forward with elite passing, a high basketball IQ and multi-positional defence. The only player in Big 12 history to post 450+ points, 250+ rebounds, 100+ assists, 70+ steals and 25+ blocks in a season. A Denzel Valentine-style stat-stuffer whose all-around production fills every column on the sheet. Few forwards in this class carry this many categories."
Chris Cenac Jr,1.35,C,HOU,N,,2,4,2,3,2,3,1,3,3,37,9.5,7.9,0.7,0.8,0.5,1.2,48.5,62.1,0.5,33.3,19.1,24.8,83,,,0,,"Led Houston in rebounding as a freshman, the first to do so since 2011-12, with a career-high 18-board NCAA Tournament game. A mobile 6'11"" big with a 7'4"" wingspan who finishes as a lob and roll threat and has flashed three-point range. The youngest player in this tier and the only true freshman — the rebounding floor and developing shooting touch give him the longest dynasty runway of the group."
Baba Miller,1.37,F,MICH,N,,2,4,2,3,4,4,2,2,2,35,13.0,10.3,3.7,0.8,1.2,2.0,52.9,65.0,0.3,25.0,21.5,31.0,83,,,1,,"A 6'10"" forward with a 7'1"" wingspan and a wing-like skill set in a big man's body — fluid ball-handling and elite recovery speed have scouts pushing him well into the first round. The physical tools and defensive versatility are rare at his size. The production hasn't matched the physical profile yet — a ceiling play built on the belief that ball skills catch up to the frame."
Jaden Bradley,1.38,G,IND,N,,3,2,4,4,2,3,3,2,3,37,13.3,3.6,4.5,1.3,0.3,2.0,45.0,75.0,1.0,33.0,21.0,32.0,75,,,0,,"A crafty, pass-first guard with active hands and defensive disruption — the playmaking instincts and steal creation are the dynasty calling cards. The shooting needs significant development before the full multi-category profile unlocks. A high-floor, moderate-ceiling prospect."
Braden Smith,1.39,G,PUR,N,,2,2,5,5,1,2,4,5,3,39,14.3,3.5,8.8,1.7,0.2,2.9,44.0,82.5,1.6,36.2,22.5,34.5,72,9.0,,0,,"Elite AST, elite STL and elite 3PM — three category pillars from Purdue's floor general. One of the most complete point guard profiles in the class — anchors three columns while shooting efficiently from deep. The scoring and rebounding are limited by size but the playmaking, defensive activity and shooting translate at any level."
Darrion Williams,1.40,F,NCSU,N,,4,3,3,3,2,3,4,4,3,35,16.0,5.5,2.5,1.2,0.5,2.0,46.0,78.0,1.5,36.0,22.0,32.0,78,,,0,,"A versatile, productive wing whose value comes from contributing across multiple categories without a glaring weakness — scoring, shooting and free-throw efficiency all register. No single elite anchor but the balanced profile plays in every format. A steady, low-variance contributor."
Bruce Thornton,1.41,G,OSU,N,,4,2,4,3,2,3,4,3,4,35,20.2,5.1,5.5,1.2,0.3,1.8,45.0,85.0,1.5,36.0,22.0,34.0,74,,,0,,"A steady, high-IQ guard with scoring punch and playmaking vision — the type of backcourt piece who keeps the stat sheet balanced across multiple categories. No single elite anchor but the consistency and floor are real. Age and shooting development will determine the dynasty ceiling."
Ugonna Onyenso,1.42,C,KEN,N,,2,4,2,3,5,4,2,2,4,30,5.0,5.0,0.5,0.5,2.5,1.0,60.0,60.0,0.0,0.0,22.0,20.0,84,,,1,,Elite BLK — a true rim protector whose shot-blocking rate is among the best in the class. The defensive impact anchors the entire profile. Offensively limited — the scoring and shooting will not carry dynasty value. A specialist whose one elite skill is genuinely impactful in category leagues.
Alex Karaban,1.43,F,UCONN,N,,2,2,3,2,3,3,5,5,3,40,13.2,5.3,2.4,0.8,0.8,1.1,46.4,85.1,1.9,37.4,23.2,34.2,80,7.8,,0,,"Elite FT% and elite 3PM — two category pillars built on shooting efficiency. A 6'8"" forward who stretches the floor from every spot and converts at the line at an elite rate. The shooting translates immediately. Age 23.2 compresses the dynasty runway — the production is ready-made, the timeline is short."
Trevon Brazile,1.44,F/C,ARK,N,,2,3,2,5,5,4,3,2,3,36,13.0,7.3,1.6,1.5,1.6,1.5,52.5,71.7,0.9,34.1,24.0,31.5,82,,,0,,"Elite STL and elite BLK — a rare dual-defensive anchor at 6'10"" with near-7'4"" wingspan and a 41"" max vertical. The athletic ceiling is massive and the defensive rebound rate confirms the motor is real. A growing divide exists on whether the ball skills can catch up to the raw physical gifts — the defensive production is not a projection. It's already there."
Jack Kayil,1.45,G,INTL,N,,4,2,5,4,1,1,3,2,3,32,12.2,2.8,3.5,1.1,0.1,2.0,40.0,77.0,1.0,34.0,20.0,21.0,77,,,1,,Elite AST — a playmaking guard who led Germany to a FIBA U19 silver medal with 6.6 APG and earned BBL Best Young Player honours at 20 years old against professionals nearly a decade his senior. The passing and ball skills are genuine. FG% and 3PM are the severe category drags — 40% from the field and 34% from deep need significant improvement at NBA level. A development play built on playmaking upside and age.
Rafael Castro,1.46,C,INTL,N,,3,5,2,4,4,5,2,1,3,29,15.3,9.1,1.8,1.8,1.7,1.5,62.7,66.1,0.0,0.0,24.0,27.3,83,,,1,,"Elite REB and elite FG% — two genuine category anchors. A physical, imposing center who dominates the glass and finishes at an elite rate around the rim. A non-shooter — the 3PM is absent. The dynasty case is built entirely on rebounding and efficiency as a traditional interior big."
Sergio De Larrea,1.47,G,INTL,N,,3,2,5,2,2,3,3,3,1,30,10.0,3.0,6.0,0.8,0.3,3.0,42.0,75.0,1.0,35.0,20.0,25.0,78,,,1,,"Elite AST — a creative, high-feel playmaker out of Valencia whose passing vision and court sense are the standout traits. The scoring and size are limited. A specialist point guard whose dynasty value lives and dies with assist volume and whether he earns NBA minutes."
Duke Miles,1.48,G,INTL,N,,3,2,4,4,2,3,4,3,3,30,12.0,3.0,4.0,1.3,0.3,2.0,44.0,80.0,1.2,35.0,20.0,25.0,77,,,1,,A well-rounded international guard whose passing and defensive activity stand out — the profile contributes across multiple categories without a glaring weakness. No single elite anchor but the balanced production and versatility create a solid multi-category floor.
Quadir Copeland,1.49,G,NCSU,N,,3,2,5,5,2,3,3,5,3,34,13.9,3.6,6.5,1.7,0.3,2.7,49.4,77.5,2.0,39.7,23.0,28.0,78,,,0,,"Elite AST, elite STL and elite 3PM — three category pillars. Led the ACC in assists at 6.5 per game while shooting 39.7% from three on volume. Set a career high of 16 assists in one game. The passing, defensive activity and shooting combine in a way that makes this profile one of the best values on the entire board at pick 49."
Nick Martinelli,1.50,F,NWST,N,,4,3,2,2,2,3,3,2,4,35,19.5,5.5,1.5,0.8,0.3,1.8,48.0,78.0,2.5,42.0,22.0,33.0,78,,,0,,"A back-to-back Big Ten scoring champion who shot 42% from three — a left-handed forward with elite footwork, mismatch-hunting ability in the post and genuine physicality. The scoring touch and shooting efficiency are the dynasty calling cards. A major value grab at this range whose offensive skill set is more polished than most forwards ranked above him."
