poll_date,source_author,league_format,side_a,side_a_votes,side_a_pct,side_b,side_b_votes,side_b_pct,total_votes,community_winner,note
2026-08-09,Adrian B (Zohran ROY),30 Team / Real Salary / 9-Cat,Ty Jerome ($9M),17,81,Scoot Henderson ($13M),3,14,21,side_a,"3-way poll (""looking for a cheap productive guard""); omitted 3rd option: Damian Lillard ($14M), 1 vote, 5% - pct fields don't sum to 100 because of the omission"
2026-08-08,bino,16 Team / 9-Cat / 12 Keepers / 18 Roster,Jabari Smith + Isaiah Collier + 2027 1st (top 1-8) + 3x 2027 2nds,0,0,Paolo Banchero + Zach LaVine,12,100,12,side_b,
2026-08-07,sinX,Dynasty / 30 Team / 9-Cat,Walter Clayton Jr. + pick 36,7,41,Pick 23,10,59,17,side_b,unqualified pick numbers refer to the upcoming rookie draft (Ash, 2026-08-20)
2026-08-06,unknown (not visible in screenshot),Dynasty / Categories,Victor Wembanyama + Kawhi Leonard + Joel Embiid,6,26,Nikola Jokic + Dylan Harper + Chet Holmgren,17,74,23,side_b,author not captured in screenshot - date set to match surrounding polls per Ash's instruction
2026-08-06,evizu,Categories / 24 Team,pick 1.02,14,61,VJ Edgecombe + pick 1.07,9,39,23,side_a,unqualified pick numbers refer to the upcoming rookie draft (Ash, 2026-08-20)
2026-08-05,evizu,9-Cat,Josh Giddey,20,69,Walker Kessler,9,31,29,side_a,
2026-08-05,Mika972,Dynasty / H2H / 9-Cat / 14 Team / 350 men / Salary,Jeremiah Fears,8,36,Pick #10 2026,14,64,22,side_b,
2026-08-04,MrCherry,24 Team / 9-Cat / H2H,Coby White,19,56,Immanuel Quickley,15,44,34,side_a,
2026-08-04,pomtom,Dynasty / 14 Team / 9-Cat / H2H,Franz Wagner,19,70,Pick #6 (upcoming rookie draft) + Ajay Mitchell,8,30,27,side_a,"3-way poll; omitted 3rd option was unlabeled (scale emoji), 0 votes, 0%"
2026-08-04,sinX,Dynasty / 30 Team / 9-Cat,Pick 9 (Brayden Burries),31,100,Pick 16 + Pick 23,0,0,31,side_a,"3-way poll; omitted 3rd option ""Close Value anyway"" (emoji), 0 votes, 0%"
2026-08-04,ben_d_knee,Dynasty / 14 Team / Points,Tyrese Maxey,5,18,Anthony Edwards,23,82,28,side_b,
2026-08-04,ben_d_knee,Dynasty / 14 Team / Points,2027 early 2nd,10,53,2028 mid 2nd,9,47,19,side_a,poll titled "Draft class read - which asset is more valuable?"
2026-08-03,dcdoorknob,24 Team / 9-Cat,Jalen Williams + 2026 Rookie Pick 1.3,3,14,Luka Doncic + Scottie Pippen Jr.,19,86,22,side_b,
2026-08-03,PJ1993,ESPN Points League,Franz Wagner,13,54,Darius Acuff Jr. + Mikel Brown Jr.,11,46,24,side_a,poll titled "Who would you rather in an ESPN points league?"
2026-08-02,mersault,20 Team / Categories,Amen Thompson + Keegan Murray + Khaman Maluach,14,82,Tyler Herro + Reed Sheppard + Dyson Daniels + Anthony Black + Maxime Raynaud,3,18,17,side_a,
2026-08-02,Greyson,8-Cat / 30 Team,Noah Penda,10,59,Pick 28 (upcoming rookie draft),7,41,17,side_a,
2026-08-01,majerused,Points / 10 Team,Darius Acuff Jr.,6,55,Mikel Brown Jr.,4,36,11,side_a,"poll titled ""10T Sleeper Pts League, Who would you go for it you were going for ceiling only?""; 3-way poll, omitted 3rd option ""Keaton Wagler"", 1 vote, 9%"
2026-07-31,Brayden,9-Cat / 30 Team,Ace Bailey + Ousmane Dieng,12,55,Shaedon Sharpe + Brandin Podziemski,10,45,22,side_a,"""Podz"" read as Brandin Podziemski"
2026-07-31,cha cha,9-Cat / 20 Team,Bennedict Mathurin,3,11,Allen Graves,24,89,27,side_b,also referenced separately in "ehm3's poll: Another graves poll (9cat)"
2026-07-30,Bnets,Dynasty / Categories,Victor Wembanyama + Kawhi Leonard + Jabari Smith,3,9,Nikola Jokic + Dylan Harper + Donovan Clingan + Stephen Curry,31,91,34,side_b,posted as a hypothetical (""He just said he might do this""), not a completed real trade
