norm_name,display_name,source,current_id,espn_id,espn_name,espn_dob,espn_league,confidence,status,note
maliq brown,Maliq Brown,sl-row+dynasty-rookie,sl-1643576,5105337,Maliq Brown,2003-11-15,mens-college-basketball,exact,approved,
malique lewis,Malique Lewis,sl-row,sl-1641831,5184016,Malique Lewis,2004-11-10,nba,exact,approved,
mark mitchell,Mark Mitchell Jr.,sl-row,sl-1643574,4433285,Mark Mitchell Jr.,2003-09-01,mens-college-basketball,exact,approved,
marquel sutton,Marquel Sutton,sl-row,sl-27903,5107264,Marquel Sutton,2003-01-11,mens-college-basketball,exact,approved,
matt cleveland,Matt Cleveland,sl-row,sl-1642888,,,,,unresolved,rejected,no ESPN athlete matched this name — set espn_id by hand and mark approved
matt rogers,Matt Rogers,sl-row,sl-27941,,,,,multiple,rejected,"2 athletes share this name — pick one: 4575108 (2002-04-12, mens-college-basketball) | 55620 (no dob, mens-college-basketball)"
matthew murrell,Matthew Murrell,sl-row,sl-1641802,4702442,Matthew Murrell,2001-12-19,mens-college-basketball,exact,approved,
max abmas,Max Abmas,sl-row,sl-1630546,4432932,Max Abmas,2001-04-02,mens-college-basketball,exact,approved,
max mackinnon,Max Mackinnon,sl-row,sl-27912,5105785,Max Mackinnon,2003-10-09,mens-college-basketball,exact,approved,
meechie johnson,Meechie Johnson,sl-row,sl-1641800,4710770,Meechie Johnson,2002-09-21,mens-college-basketball,exact,approved,
meleek thomas,Meleek Thomas,sl-row+dynasty-rookie,sl-1643509,5041951,Meleek Thomas,2006-08-06,mens-college-basketball,exact,approved,
melvin council,Melvin Council Jr.,sl-row,sl-1643596,5177301,Melvin Council Jr.,2002-04-23,mens-college-basketball,exact,approved,
micah handlogten,Micah Handlogten,sl-row,sl-1643752,5108992,Micah Handlogten,2003-12-17,mens-college-basketball,exact,approved,
michael ajayi,Michael Ajayi,sl-row,sl-1642369,5176517,Michael Ajayi,2003-05-23,mens-college-basketball,exact,approved,
mike sharavjamts,Mike Sharavjamts,sl-row,sl-1641814,5105875,Mike Sharavjamts,2002-01-01,mens-college-basketball,exact,approved,
mikel brown,Mikel Brown Jr.,sl-row+dynasty-rookie,sl-1643414,5101761,Mikel Brown Jr.,2006-04-03,mens-college-basketball,exact,approved,
miles barnstable,Miles Barnstable,sl-row,sl-1643709,5241411,Miles Barnstable,2004-02-18,mens-college-basketball,exact,approved,
miller kopp,Miller Kopp,sl-row,sl-1642046,4397231,Miller Kopp,1998-11-24,mens-college-basketball,exact,approved,
milos uzan,Milos Uzan,sl-row,sl-1642870,5106272,Milos Uzan,2002-12-26,mens-college-basketball,exact,approved,
mitch mascari,Mitch Mascari,sl-row,sl-1643112,5241365,Mitch Mascari,2000-08-21,mens-college-basketball,exact,approved,
mo amini,Mo Amini,sl-row,sl-1643735,,,,,unresolved,rejected,no ESPN athlete matched this name — set espn_id by hand and mark approved
morez johnson,Morez Johnson,sl-row+dynasty-rookie,sl-1643516,4873153,Morez Johnson Jr.,2006-01-25,mens-college-basketball,exact,approved,
mylik wilson,Mylik Wilson,sl-row,sl-1643071,4432902,Mylik Wilson,2000-09-20,mens-college-basketball,exact,approved,
nate ament,Nate Ament,sl-row+dynasty-rookie,sl-1643417,5164559,Nate Ament,2006-12-10,mens-college-basketball,exact,approved,
nate bittle,Nate Bittle,sl-row,sl-1642927,4432586,Nate Bittle,2003-06-03,mens-college-basketball,exact,approved,
nate johnson,Nate Johnson,sl-row,sl-27919,4898278,Nate Johnson,2003-06-16,mens-college-basketball,exact,approved,duplicate name resolved by roster DOB 2003-06-16
nate kingz,Nate Kingz,sl-row,sl-1643729,5240882,Nate Kingz,2002-11-14,mens-college-basketball,exact,approved,
nate mensah,Nate Mensah,sl-row,sl-1641877,,,,,multiple,rejected,"3 athletes share this name — pick one: 4397371 (1998-04-09, mens-college-basketball) | 40957 (no dob, mens-college-basketball) | 39480 (no dob, mens-college-basketball)"
nate santos,Nate Santos,sl-row,sl-1642957,4433585,Nate Santos,2001-11-09,mens-college-basketball,exact,approved,
nick boyd,Nick Boyd,sl-row,sl-1643592,4702654,Nick Boyd,2001-04-23,mens-college-basketball,exact,approved,duplicate name resolved by roster DOB 2001-04-23
nick jourdain,Nick Jourdain,sl-row,sl-1643100,4701221,Nick Jourdain,2000-06-29,mens-college-basketball,exact,approved,
nick martinelli,Nick Martinelli,sl-row,sl-1643568,5105832,Nick Martinelli,2004-04-20,mens-college-basketball,exact,approved,
nick pringle,Nick Pringle,sl-row,sl-1643761,4703887,Nick Pringle,2001-09-16,mens-college-basketball,exact,approved,
nick townsend,Nick Townsend,sl-row,sl-27942,5107174,Nick Townsend,2004-10-23,mens-college-basketball,exact,approved,
nimari burnett,Nimari Burnett,sl-row,sl-1643718,4433138,Nimari Burnett,2001-12-20,mens-college-basketball,exact,approved,
norris agbakoko,Norris Agbakoko,sl-row,sl-1643755,,,,,unresolved,rejected,no ESPN athlete matched this name — set espn_id by hand and mark approved
orlando thomas,Orlando Thomas,sl-row,sl-27910,5261705,Orlando Thomas,2003-09-09,mens-college-basketball,exact,approved,
osayi osifo,Osayi Osifo,sl-row,sl-1642563,4702251,Osayi Osifo,2000-04-06,mens-college-basketball,exact,approved,
oscar cluff,Oscar Cluff,sl-row,sl-1643745,5174973,Oscar Cluff,2001-11-22,mens-college-basketball,exact,approved,
oziyah sellers,Oziyah Sellers,sl-row,sl-27946,5105642,Oziyah Sellers,2003-07-28,mens-college-basketball,exact,approved,
peter suder,Peter Suder,sl-row,sl-1643614,5106674,Peter Suder,2003-07-29,mens-college-basketball,exact,approved,
quadir copeland,Quadir Copeland,sl-row+dynasty-rookie,sl-1643595,4683860,Quadir Copeland,2003-09-01,mens-college-basketball,exact,approved,
rafael castro,Rafael Castro,sl-row+dynasty-rookie,sl-1643572,5367349,Rafael Castro,2003-03-30,nba,exact,approved,"ESPN carries two records for this one player (5367349 and 4684443, same dob); NBA profile id chosen at review 2026-08-03"
rashaun agee,Rashaun Agee,sl-row,sl-27914,4593815,Rashaun Agee,2000-11-02,mens-college-basketball,exact,approved,
reed bailey,Reed Bailey,sl-row,sl-1643651,5105865,Reed Bailey,2002-10-02,mens-college-basketball,exact,approved,
richie saunders,Richie Saunders,dynasty-rookie,,5105462,Richie Saunders,2001-09-19,mens-college-basketball,exact,approved,
rienk mast,Rienk Mast,sl-row,sl-1643792,4592677,Rienk Mast,2001-07-19,mens-college-basketball,exact,approved,
riley kugel,Riley Kugel,sl-row,sl-1643788,5105529,Riley Kugel,2003-11-30,mens-college-basketball,exact,approved,
rj davis,RJ Davis,sl-row,sl-1642930,4433176,RJ Davis,2001-10-21,mens-college-basketball,exact,approved,
rj melendez,RJ Melendez,sl-row,sl-1643153,4683738,RJ Melendez,2002-12-03,mens-college-basketball,exact,approved,
rj nembhard,RJ Nembhard Jr.,sl-row,sl-1630612,4277916,RJ Nembhard Jr.,1999-03-22,mens-college-basketball,exact,approved,
robbie avila,Robbie Avila,sl-row,sl-1643760,4917097,Robbie Avila,2003-09-10,mens-college-basketball,exact,approved,
robert mccray v,Robert McCray V,sl-row,sl-1643597,4685802,Robert McCray V,2002-09-26,mens-college-basketball,exact,approved,
roddy gayle,Roddy Gayle Jr.,sl-row,sl-1643550,5105836,Roddy Gayle Jr.,2003-07-23,mens-college-basketball,exact,approved,
ryan conwell,Ryan Conwell,sl-row+dynasty-rookie,sl-1643553,5107157,Ryan Conwell,2004-06-15,mens-college-basketball,exact,approved,duplicate name resolved by roster DOB 2004-06-15
rylan griffen,Rylan Griffen,sl-row,sl-27922,4683682,Rylan Griffen,2003-12-19,mens-college-basketball,exact,approved,
saint thomas,Saint Thomas,sl-row,sl-1643148,4897471,Saint Thomas,2003-05-01,mens-college-basketball,exact,approved,
sam alexis,Sam Alexis,sl-row,sl-27916,5107375,Sam Alexis,2004-10-14,mens-college-basketball,exact,approved,
sam hoiberg,Sam Hoiberg,sl-row,sl-27932,4897432,Sam Hoiberg,2003-03-21,mens-college-basketball,exact,approved,
sean east,Sean East II,sl-row,sl-1642398,4592453,Sean East II,1999-11-17,mens-college-basketball,exact,approved,
sergio de larrea,Sergio de Larrea,sl-row+dynasty-rookie,sl-1643547,5279129,Sergio de Larrea,2005-12-04,nba,exact,approved,
seth trimble,Seth Trimble,sl-row,sl-1643579,4712836,Seth Trimble,2004-08-09,mens-college-basketball,exact,approved,duplicate name resolved by roster DOB 2004-08-09
solomon washington,Solomon Washington,sl-row,sl-1643741,5105562,Solomon Washington,2002-12-15,mens-college-basketball,exact,approved,
steven ashworth,Steven Ashworth,sl-row,sl-1643094,4701991,Steven Ashworth,2000-05-11,mens-college-basketball,exact,approved,
steven crowl,Steven Crowl,sl-row,sl-1643080,4588201,Steven Crowl,2001-07-01,mens-college-basketball,exact,approved,
stevie mitchell,Stevie Mitchell,sl-row,sl-1643266,4683840,Stevie Mitchell,2003-01-29,mens-college-basketball,exact,approved,
tamar bates,Tamar Bates,sl-row,sl-1642926,4683933,Tamar Bates,2003-02-21,mens-college-basketball,exact,approved,
tamin lipsey,Tamin Lipsey,sl-row,sl-1643565,5106254,Tamin Lipsey,2003-06-25,mens-college-basketball,exact,approved,
tarris reed,Tarris Reed Jr.,sl-row+dynasty-rookie,sl-1643542,5105809,Tarris Reed Jr.,2003-08-05,mens-college-basketball,exact,approved,
taye fields,Taye Fields,sl-row,sl-27936,5239799,Taye Fields,2003-07-16,mens-college-basketball,exact,approved,
terrell brown,Terrell Brown Jr.,sl-row,sl-1631474,4395997,Terrell Brown Jr.,1998-04-23,mens-college-basketball,exact,approved,
themus fulks,Themus Fulks,sl-row,sl-1643787,4704078,Themus Fulks,2001-09-13,mens-college-basketball,exact,approved,
tj bamba,TJ Bamba,sl-row,sl-1643106,4596365,TJ Bamba,2001-01-06,mens-college-basketball,exact,approved,
tobe awaka,Tobe Awaka,sl-row,sl-1643591,5105555,Tobe Awaka,2004-01-30,mens-college-basketball,exact,approved,
tobi lawal,Tobi Lawal,sl-row,sl-1643588,5106040,Tobi Lawal,2003-05-01,mens-college-basketball,exact,approved,
tramon mark,Tramon Mark,sl-row,sl-1643649,4432243,Tramon Mark,2001-09-30,mens-college-basketball,exact,approved,
tre carroll,Tre Carroll,sl-row,sl-1643736,4684289,Tre Carroll,2003-04-16,mens-college-basketball,exact,approved,
tre donaldson,Tre Donaldson,sl-row,sl-1643621,4837356,Tre Donaldson,2003-12-11,mens-college-basketball,exact,approved,
tre holloman,Tre Holloman,sl-row,sl-27907,5105816,Tre Holloman,2003-12-09,mens-college-basketball,exact,approved,
tre white,Tre White,sl-row+dynasty-rookie,sl-1643559,5105643,Tre White,2003-01-28,mens-college-basketball,exact,approved,
trevon spillers,Tre'Von Spillers,sl-row,sl-27915,5176758,Tre'Von Spillers,2002-02-14,mens-college-basketball,exact,approved,
trevon brazile,Trevon Brazile,sl-row+dynasty-rookie,sl-1642350,4698719,Trevon Brazile,2003-01-07,mens-college-basketball,exact,approved,
trey kaufman-renn,Trey Kaufman-Renn,sl-row,sl-1643626,4897438,Trey Kaufman-Renn,2002-08-19,mens-college-basketball,exact,approved,
treysen eaglestaff,Treysen Eaglestaff,sl-row,sl-27943,5107287,Treysen Eaglestaff,2004-06-13,mens-college-basketball,exact,approved,
tucker devries,Tucker DeVries,sl-row,sl-1643620,4837238,Tucker DeVries,2002-12-07,mens-college-basketball,exact,approved,
tyler bilodeau,Tyler Bilodeau,sl-row,sl-1643548,5105626,Tyler Bilodeau,2004-04-17,mens-college-basketball,exact,approved,
tyler nickel,Tyler Nickel,sl-row,sl-1643589,4838721,Tyler Nickel,2003-09-05,mens-college-basketball,exact,approved,
tyon grant-foster,Tyon Grant-Foster,sl-row,sl-1642360,4700527,Tyon Grant-Foster,2000-03-05,mens-college-basketball,exact,approved,
tyreke key,Tyreke Key,sl-row,sl-1642615,4279143,Tyreke Key,1998-10-29,mens-college-basketball,exact,approved,
tyson degenhart,Tyson Degenhart,sl-row,sl-1643091,4898260,Tyson Degenhart,2002-10-13,mens-college-basketball,exact,approved,
ugonna onyenso,Ugonna Onyenso,sl-row+dynasty-rookie,sl-1642391,5037878,Ugonna Onyenso,2004-09-25,mens-college-basketball,exact,approved,
viktor lakhin,Viktor Lakhin,sl-row,sl-1642940,4701192,Viktor Lakhin,2001-07-30,mens-college-basketball,exact,approved,
vsevolod ishchenko,Vsevolod Ishchenko,sl-row,sl-1643585,5358755,Vsevolod Ishchenko,2005-02-10,nba,exact,approved,
will baker,Will Baker,sl-row,sl-1642475,,,,,multiple,rejected,"2 athletes share this name — pick one: 4431691 (2000-12-31, mens-college-basketball) | 2329590 (no dob, mens-college-basketball)"
will johnston,Will Johnston,sl-row,sl-27944,,,,,multiple,rejected,"2 athletes share this name — pick one: 5105481 (2001-01-01, mens-college-basketball) | 60966 (no dob, mens-college-basketball)"
william hickey,William Hickey,sl-row,sl-1643044,,,,,unresolved,rejected,no ESPN athlete matched this name — set espn_id by hand and mark approved
william kyle,William Kyle III,sl-row,sl-1643759,5107258,William Kyle III,2004-03-01,mens-college-basketball,exact,approved,
wyatt fricks,Wyatt Fricks,sl-row,sl-27911,4897504,Wyatt Fricks,2002-11-17,mens-college-basketball,exact,approved,
xaivian lee,Xaivian Lee,sl-row,sl-1642406,5107169,Xaivian Lee,2004-03-12,mens-college-basketball,exact,approved,
yaxel lendeborg,Yaxel Lendeborg,sl-row+dynasty-rookie,sl-1642865,5175737,Yaxel Lendeborg,2002-09-30,mens-college-basketball,exact,approved,
zach cleveland,Zach Cleveland,sl-row,sl-1643617,5107069,Zach Cleveland,2004-03-12,mens-college-basketball,exact,approved,
zach freemantle,Zach Freemantle,sl-row,sl-1643021,4432869,Zach Freemantle,2000-10-18,mens-college-basketball,exact,approved,
zack austin,Zack Austin,sl-row,sl-1643113,4702099,Zack Austin,2001-08-11,mens-college-basketball,exact,approved,
zakai zeigler,Zakai Zeigler,sl-row,sl-1643040,4883573,Zakai Zeigler,2002-08-02,mens-college-basketball,exact,approved,
zeke mayo,Zeke Mayo,sl-row,sl-1643083,4897251,Zeke Mayo,2002-12-18,mens-college-basketball,exact,approved,
zuby ejiofor,Zuby Ejiofor,sl-row+dynasty-rookie,sl-1643544,5106262,Zuby Ejiofor,2004-04-20,mens-college-basketball,exact,approved,
