athlete_id,display_name,dob
1016,Vladimir Radmanovic,1980-11-19
1017,Zach Randolph,1981-07-16
1018,Jason Richardson,1981-01-20
1021,Brian Scalabrine,1978-03-18
1022,Bobby Simmons,1980-06-02
1024,Jamaal Tinsley,1978-02-28
1026,Gerald Wallace,1982-07-23
1027,Earl Watson,1979-06-12
1031,Maurice Evans,1978-11-08
1034,Charlie Bell,1979-03-12
1051,Mike James,1975-06-23
1055,Carlos Arroyo,1979-07-30
1135,Chris Andersen,1978-07-07
1703,Carlos Boozer,1981-11-20
1705,Caron Butler,1980-03-13
1708,Mike Dunleavy,1980-09-15
1709,Melvin Ely,1978-05-02
1710,Dan Gadzuric,1978-02-02
1711,Drew Gooden,1981-09-24
1713,Nene ,1982-09-13
1717,Jared Jeffries,1981-11-25
1719,Nenad Krstic,1983-07-25
1721,Roger Mason Jr.,1980-09-10
1722,Yao Ming,1980-09-12
1724,Tayshaun Prince,1980-02-28
1726,John Salmons,1979-12-12
1727,Amar'e Stoudemire,1982-11-16
1731,Chris Wilcox,1982-09-03
1765,Matt Barnes,1980-03-09
1767,Rasual Butler,1979-05-23
1781,Luis Scola,1980-04-30
1784,Darius Songaila,1978-02-14
1821,Jannero Pargo,1979-10-22
1828,Reggie Evans,1980-05-18
1966,LeBron James,1984-12-30
1975,Carmelo Anthony,1984-05-29
1977,Chris Bosh,1984-03-24
1978,Nick Collison,1980-10-26
1979,T.J. Ford,1983-03-24
1981,Kirk Hinrich,1981-01-02
1982,Chris Kaman,1982-04-28
1985,Luke Ridnour,1981-02-13
1987,Dwyane Wade,1982-01-17
1994,Steve Blake,1980-02-26
1995,Keith Bogans,1980-05-12
1996,Matt Bonner,1980-04-05
1998,Brian Cook,1980-12-04
1999,Carlos Delfino,1982-08-29
2004,Willie Green,1981-07-28
2006,Josh Howard,1980-04-28
2008,Dahntay Jones,1980-12-27
2009,James Jones,1980-10-04
2010,Jason Kapono,1981-02-04
2011,Kyle Korver,1981-03-17
2015,Travis Outlaw,1984-09-18
2016,Zaza Pachulia,1984-02-10
2018,Kendrick Perkins,1984-11-10
2027,Luke Walton,1980-03-28
2165,Marcus Banks,1981-11-19
2166,Leandro Barbosa,1982-11-28
2167,Boris Diaw,1982-04-16
2171,Darko Milicic,1985-06-20
2172,Sasha Pavlovic,1983-11-15
2173,Mickael Pietrus,1982-02-07
2177,David West,1980-08-29
2178,Mo Williams,1982-12-19
2184,Udonis Haslem,1980-06-09
2188,Quinton Ross,1981-04-30
2197,Josh Powell,1983-01-25
2200,Marquis Daniels,1981-01-07
2211,Matt Carroll,1980-08-28
2212,Josh Davis,1980-08-10
2214,Ronald Dupree,1981-01-26
2367,Tony Allen,1982-01-11
2373,Josh Childress,1983-06-20
2377,Chris Duhon,1982-08-31
2381,Ben Gordon,1983-04-04
2382,Devin Harris,1983-02-27
2384,Dwight Howard,1985-12-08
2386,Andre Iguodala,1984-01-28
2387,Royal Ivey,1981-12-20
2389,Al Jefferson,1985-01-04
2393,Shaun Livingston,1985-09-11
2394,Kevin Martin,1983-02-01
2399,Emeka Okafor,1982-09-28
2411,Josh Smith,1985-12-05
2417,Sebastian Telfair,1985-06-09
2419,Anderson Varejao,1982-09-28
2421,Sasha Vujacic,1984-03-08
2422,Delonte West,1983-07-26
2423,Dorell Wright,1985-12-02
2426,Trevor Ariza,1985-06-30
2427,Andris Biedrins,1986-04-02
2429,Luol Deng,1985-04-16
2431,Andre Emmett,1982-08-27
2433,Kris Humphries,1985-02-06
2439,Jameer Nelson,1982-02-09
2444,JR Smith,1985-09-09
2448,Beno Udrih,1982-07-05
2450,Didier Ilunga-Mbenga,1980-12-30
2456,Andres Nocioni,1979-09-30
2477,Earl Barron,1981-08-14
2506,Damien Wilkins,1980-01-11
2745,Brandon Bass,1985-04-30
2746,Andray Blatche,1986-08-22
2747,Andrew Bogut,1984-11-28
2748,Andrew Bynum,1987-10-27
2750,Ike Diogu,1983-09-11
2751,Monta Ellis,1985-10-26
2753,Raymond Felton,1984-06-26
2754,Channing Frye,1983-05-17
2755,Francisco Garcia,1980-12-31
2756,Mickael Gelabale,1983-05-22
2757,Ryan Gomes,1982-09-01
2758,Marcin Gortat,1984-02-17
2759,Joey Graham,1982-06-11
2760,Danny Granger,1983-04-20
2761,Gerald Green,1986-01-26
2762,Orien Greene,1982-02-04
2763,Luther Head,1982-11-26
2767,Ersan Ilyasova,1987-05-15
2768,Jarrett Jack,1983-10-28
2769,Amir Johnson,1987-05-01
2770,Linas Kleiza,1985-01-03
2772,David Lee,1983-04-29
2774,Ian Mahinmi,1986-11-05
2775,Jason Maxiell,1983-02-18
2778,CJ Miles,1987-03-18
2779,Chris Paul,1985-05-06
2780,Johan Petro,1986-01-27
2782,Nate Robinson,1984-05-31
2789,Ronny Turiaf,1983-01-13
2792,Charlie Villanueva,1984-08-24
2793,Von Wafer,1985-07-21
2794,Hakim Warrick,1982-07-08
2795,Martell Webster,1986-12-04
2797,Marvin Williams,1986-06-19
2798,Deron Williams,1984-06-26
2799,Lou Williams,1986-10-27
2801,Antoine Wright,1984-02-06
2805,Fabricio Oberto,1975-03-21
2806,Jose Calderon,1981-09-28
2807,Ronnie Price,1983-06-21
2810,Shavlik Randolph,1983-11-24
2816,Will Bynum,1983-01-04
2821,Kelenna Azubuike,1983-12-16
2827,Will Conroy,1982-12-08
2832,Stephen Graham,1982-06-11
2834,Chuck Hayes,1983-06-11
2850,Jawad Williams,1983-02-19
2866,John Lucas III,1982-11-21
2873,James Singleton,1981-07-20
2982,Maurice Ager,1984-02-09
2983,LaMarcus Aldridge,1985-07-19
2984,Hilton Armstrong,1984-11-23
2986,Renaldo Balkman,1984-07-14
2987,Andrea Bargnani,1985-10-26
2991,Ronnie Brewer,1985-03-20
2992,Shannon Brown,1985-11-29
2995,Rodney Carney,1984-04-05
3002,Jordan Farmar,1986-11-30
3003,Randy Foye,1983-09-24
3004,Joel Freeland,1987-02-07
3005,Rudy Gay,1986-08-17
3006,Daniel Gibson,1986-02-27
3008,Ryan Hollins,1984-10-10
3010,Solomon Jones,1984-07-16
3012,Kyle Lowry,1986-03-25
3015,Paul Millsap,1985-02-10
3018,Steve Novak,1983-06-13
3023,Leon Powe,1984-01-22
3024,JJ Redick,1984-06-24
3025,Sergio Rodriguez,1986-06-12
3026,Rajon Rondo,1986-02-22
3027,Brandon Roy,1984-07-23
3028,Thabo Sefolosha,1984-05-02
3031,Craig Smith,1983-11-10
3032,Tyrus Thomas,1986-08-17
3033,P.J. Tucker,1985-05-05
3037,James White,1982-10-21
3038,Shawne Williams,1986-02-16
3040,Shelden Williams,1983-10-21
3041,Lou Amundson,1982-12-07
3046,Chris Quinn,1983-09-27
3053,Pops Mensah-Bonsu,1983-09-07
3055,J.J. Barea,1984-06-26
3081,Mike  Harris,1983-06-15
3105,Eugene Jeter,1983-12-02
3187,Arron Afflalo,1985-10-15
3188,Morris Almond,1985-02-02
3190,Marco Belinelli,1986-03-25
3191,Corey Brewer,1986-03-05
3192,Aaron Brooks,1985-01-14
3193,Derrick Byars,1984-04-25
3194,Wilson Chandler,1987-05-10
3195,Mike Conley,1987-10-11
3196,Daequan Cook,1987-04-28
3200,Glen Davis,1986-01-01
3201,Jared Dudley,1985-07-10
3202,Kevin Durant,1988-09-29
3204,Rudy Fernandez,1985-04-04
3205,Kyrylo Fesenko,1986-12-24
3206,Marc Gasol,1985-01-29
3207,Aaron Gray,1984-12-07
3209,Jeff Green,1986-08-28
3211,Spencer Hawes,1988-04-28
3213,Al Horford,1986-06-03
3214,Yi Jianlian,1987-10-27
3217,Carl Landry,1983-09-19
3219,Acie Law,1985-01-25
3220,Josh McRoberts,1987-02-28
3224,Joakim Noah,1985-02-25
3225,Greg Oden,1988-01-22
3231,Ramon Sessions,1986-04-11
3232,Jason Smith,1986-03-02
3233,Tiago Splitter,1985-01-01
3235,Rodney Stuckey,1986-04-21
3237,Al Thornton,1983-12-07
3239,Sean Williams,1986-09-13
3241,Julian Wright,1987-05-20
3242,Brandan Wright,1987-10-05
3243,Nick Young,1985-06-01
3244,Thaddeus Young,1988-06-21
3246,Dominic McGuire,1985-10-20
3247,Joel Anthony,1982-08-09
3249,Jamario Moon,1980-06-13
3252,Mustafa Shakur,1984-08-18
3256,Trey Johnson,1984-08-30
3276,Anthony Tolliver,1985-06-01
3277,C.J. Watson,1984-04-17
3278,Mario West,1984-06-19
3290,Darryl Watkins,1984-11-08
3402,Blake Ahearn,1984-05-27
3410,Alexis Ajinca,1988-05-06
3412,Ryan Anderson,1988-05-06
3413,Darrell Arthur,1988-03-25
3414,Omer Asik,1986-07-04
3415,D.J. Augustin,1987-11-10
3416,Nicolas Batum,1988-12-14
3417,Jerryd Bayless,1988-08-20
3418,Michael Beasley,1989-01-09
3419,Mario Chalmers,1986-05-19
3421,Joey Dorsey,1983-12-16
3422,Chris Douglas-Roberts,1987-01-08
3423,Goran Dragic,1986-05-06
3425,Semih Erden,1986-07-28
3426,Patrick Ewing Jr.,1984-05-20
3428,Danilo Gallinari,1988-08-08
3431,Eric Gordon,1988-12-25
3432,Donte Greene,1988-02-21
3436,Roy Hibbert,1986-12-11
3437,JJ Hickson,1988-09-04
3438,George Hill,1986-05-04
3439,Serge Ibaka,1989-09-18
3440,Darnell Jackson,1985-11-07
3442,DeAndre Jordan,1988-07-21
3443,Sasha Kaun,1985-05-08
3444,Kosta Koufos,1989-02-24
3445,Courtney Lee,1985-10-03
3447,Robin Lopez,1988-04-01
3448,Brook Lopez,1988-04-01
3449,Kevin Love,1988-09-07
3450,O.J. Mayo,1987-11-05
3451,Luc Mbah a Moute,1986-09-09
3452,JaVale McGee,1988-01-19
3453,Nikola Pekovic,1986-01-03
3455,Anthony Randolph,1989-07-15
3456,Derrick Rose,1988-10-04
3457,Brandon Rush,1985-07-07
3460,Marreese Speights,1987-08-04
3462,Jason Thompson,1986-07-21
3464,Henry Walker,1987-10-09
3466,Kyle Weaver,1986-02-18
3467,Sonny Weems,1986-07-08
3468,Russell Westbrook,1988-11-12
3469,D.J. White,1986-08-31
3472,Bobby Brown,1984-09-24
3474,Anthony Morrow,1985-09-27
3478,Hamed Haddadi,1985-05-19
3554,Omri Casspi,1988-06-22
3593,Bojan Bogdanovic,1989-04-18
3882,Alexey Shved,1988-12-16
3930,Cartier Martin,1984-11-20
3963,Rodrigue Beaubois,1988-02-24
3964,Patrick Beverley,1988-07-12
3965,DeJuan Blair,1989-04-22
3966,Jon Brockman,1987-03-20
3967,Derrick Brown,1987-09-08
3968,Chase Budinger,1988-05-22
3969,Nick Calathes,1989-02-07
3970,DeMarre Carroll,1986-07-27
3971,Earl Clark,1988-01-17
3972,Victor Claver,1988-08-30
3973,Darren Collison,1987-08-23
3974,Dante Cunningham,1987-04-22
3975,Stephen Curry,1988-03-14
3976,Austin Daye,1988-06-05
3977,Nando De Colo,1987-06-23
3978,DeMar DeRozan,1989-08-07
3979,Toney Douglas,1986-03-16
3981,Wayne Ellington,1987-11-29
3983,Tyreke Evans,1989-09-19
3984,Christian Eyenga,1989-06-22
3985,Jonny Flynn,1989-02-06
3986,Taj Gibson,1985-06-24
3988,Danny Green,1987-06-22
3989,Blake Griffin,1989-03-16
3991,Tyler Hansbrough,1985-11-03
3992,James Harden,1989-08-26
3993,Gerald Henderson,1987-12-09
3994,Jordan Hill,1987-07-27
3995,Jrue Holiday,1990-06-12
3996,Lester Hudson,1984-08-07
3997,Brandon Jennings,1989-09-23
3998,Jonas Jerebko,1987-03-02
3999,James Johnson,1987-02-20
4000,Ty Lawson,1987-11-03
4001,Eric Maynor,1987-06-11
4003,Jodie Meeks,1987-08-21
4004,Patty Mills,1988-08-11
4005,Byron Mullens,1989-02-14
4008,Jeff Ayres,1987-04-29
4010,A.J. Price,1986-10-07
4011,Ricky Rubio,1990-10-21
4012,DaJuan Summers,1988-01-24
4014,Jermaine Taylor,1986-12-08
4015,Jeff Teague,1988-06-10
4016,Hasheem Thabeet,1987-02-16
4017,Marcus Thornton,1987-06-05
4019,Terrence Williams,1987-06-28
4020,Sam Young,1985-06-01
4023,Garrett Temple,1986-05-08
4025,Dionte Christmas,1986-09-15
4032,Wesley Matthews,1986-10-14
4035,Garret Siler,1986-10-25
4158,Jerel McNeal,1987-06-01
4165,Jan Vesely,1990-04-24
4179,Larry Owens,1983-01-08
4182,Pablo Prigioni,1977-05-17
4192,Milos Teodosic,1987-03-19
4195,Kostas Papanikolaou,1990-07-31
4205,David Andersen,1980-06-23
4218,Gal Mekel,1988-03-04
4224,Sundiata Gaines,1986-04-18
4229,Reggie Williams,1986-09-14
4231,Othyus Jeffers,1985-08-15
4232,Alonzo Gee,1987-05-29
4235,Greg Stiemsma,1985-09-26
4237,John Wall,1990-09-06
4238,Eric Bledsoe,1989-12-09
4239,Evan Turner,1988-10-27
4240,Avery Bradley,1990-11-26
4241,Xavier Henry,1991-03-15
4242,James Anderson,1989-03-25
4243,Jordan Crawford,1988-10-23
4244,Lance Stephenson,1990-09-05
4246,Dominique Jones,1988-10-15
4247,Wesley Johnson,1987-07-11
4248,Al-Farouq Aminu,1990-09-21
4249,Gordon Hayward,1990-03-23
4250,Luke Babbitt,1989-06-20
4251,Paul George,1990-05-02
4252,Damion James,1987-10-07
4253,Quincy Pondexter,1988-03-10
4254,Craig Brackins,1987-10-09
4256,Devin Ebanks,1989-10-28
4257,Derrick Favors,1991-07-15
4258,DeMarcus Cousins,1990-08-13
4259,Ed Davis,1989-06-05
4260,Greg Monroe,1990-06-04
4261,Ekpe Udoh,1987-05-20
4262,Hassan Whiteside,1989-06-13
4263,Daniel Orton,1990-08-06
4264,Patrick Patterson,1989-03-14
4265,Larry Sanders,1988-11-21
4266,Jarvis Varnado,1988-03-01
4267,Cole Aldrich,1988-10-31
4268,Solomon Alabi,1988-03-21
4269,Nemanja Bjelica,1988-05-09
4270,Trevor Booker,1987-11-25
4272,Derrick Caracter,1988-05-04
4274,Landry Fields,1988-06-27
4276,Luke Harangody,1988-01-02
4277,Lazar Hayward,1986-11-26
4278,Darington Hobson,1987-09-29
4279,Armon Johnson,1989-02-23
4280,Jerome Adolphus Jordan,1986-09-29
4281,Gani Lawal,1988-11-07
4282,Hamady Ndiaye,1987-01-12
4283,Dexter Pittman,1988-03-02
4284,Tibor Pleiss,1989-11-02
4285,Andy Rautins,1986-11-02
4286,Ryan Reid,1986-10-30
4289,Kevin Seraphin,1989-12-07
4290,Pape Sy,1988-04-04
4291,Greivis Vasquez,1987-01-16
4292,Willie Warren,1989-10-22
4294,Elliot Williams,1989-06-20
4295,Jeremy Evans,1987-10-24
4296,Ben Uzoh,1988-03-18
4298,Timofey Mozgov,1986-07-16
4299,Jeremy Lin,1988-08-23
4300,Gary Neal,1984-10-03
4302,Sherron Collins,1987-03-18
4303,Donald Sloan,1988-01-15
4304,Samardo Samuels,1989-01-09
4305,Ish Smith,1988-07-05
4311,Shane Edwards,1987-05-31
4312,Gary Forbes,1985-02-25
4320,Jerome Dyson,1987-05-01
4321,Elijah Millsap,1987-08-12
4325,Marcus Cousin,1986-12-18
4327,Zabian Dowdell,1984-09-10
4329,Mickell Gladness,1986-07-26
4335,Jeff Adrien,1986-02-10
4341,Nicolo Melli,1991-01-26
4360,Manny Harris,1989-09-21
4376,Boban Marjanovic,1988-08-15
4385,Mirza Teletovic,1985-09-17
4400,Chris Johnson,1985-07-17
6156,Jeffery Taylor,1989-05-23
6424,Lavoy Allen,1989-02-04
6425,Keith Benson,1988-08-13
6426,Davis Bertans,1992-11-12
6427,Bismack Biyombo,1992-08-28
6428,MarShon Brooks,1989-01-26
6429,Alec Burks,1991-07-20
6430,Jimmy Butler,1989-09-14
6431,Norris Cole,1988-10-13
6433,Kenneth Faried,1989-11-19
6434,Jimmer Fredette,1989-02-25
6435,Andrew Goudelock,1988-12-07
6436,Jordan Hamilton,1990-10-06
6438,Justin Harper,1989-08-30
6439,Josh Harrellson,1989-02-12
6440,Tobias Harris,1992-07-15
6441,Tyler Honeycutt,1990-07-15
6442,Kyrie Irving,1992-03-23
6443,Reggie Jackson,1990-04-16
6444,Charles Jenkins,1989-02-28
6445,JaJuan Johnson,1989-02-08
6446,Cory Joseph,1991-08-20
6447,Enes Freedom,1992-05-20
6448,Brandon Knight,1991-12-02
6449,Malcolm Lee,1990-05-22
6450,Kawhi Leonard,1991-06-29
6451,Travis Leslie,1990-03-29
6452,Jon Leuer,1989-05-14
6453,DeAndre Liggins,1988-03-31
6454,Shelvin Mack,1990-04-22
6455,Vernon Macklin,1986-09-26
6459,Nikola Mirotic,1991-02-11
6460,E'Twaun Moore,1989-02-25
6461,Markieff Morris,1989-09-02
6462,Marcus Morris Sr.,1989-09-02
6463,Darius Morris,1991-01-03
6464,Donatas Motiejunas,1990-09-20
6466,Chandler Parsons,1988-10-25
6467,Josh Selby,1991-03-27
6468,Iman Shumpert,1990-06-26
6469,Kyle Singler,1988-05-04
6470,Chris Singleton,1989-11-21
6471,Nolan Smith,1988-07-25
6472,Isaiah Thomas,1989-02-07
6473,Trey Thompkins,1990-05-29
6474,Tristan Thompson,1991-03-13
6475,Klay Thompson,1990-02-08
6476,Jeremy Tyler,1991-06-21
6477,Jonas Valanciunas,1992-05-06
6478,Nikola Vucevic,1990-10-24
6479,Kemba Walker,1990-05-08
6480,Derrick Williams,1991-05-25
6481,Jordan Williams,1990-10-11
6483,Justin Dentmon,1985-09-05
6484,Carldell Johnson,1983-01-28
6485,Lance Thomas,1988-04-24
6490,Terrel Harris,1987-08-10
6497,Jeremy Pargo,1986-03-17
6499,Xavier Silas,1988-01-22
6501,Chris Wright,1988-09-30
6502,Luke Zeller,1987-04-07
6503,Dwight Buycks,1989-03-06
6507,Brad Wanamaker,1989-07-25
6511,Malcolm Thomas,1988-11-08
6518,Edwin Ubiles,1986-11-26
6523,Mychel Thompson,1988-06-01
6526,Walker Russell Jr.,1982-10-06
6527,Dennis Horner,1988-02-05
6528,Jerry Smith,1987-09-26
6530,Greg Smith,1991-01-08
6534,Ivan Johnson,1984-04-10
6541,Courtney Fortson,1988-05-23
6543,Julyan Stone,1988-12-07
6544,Cory Higgins,1989-06-14
6546,Gustavo Alfonso Ayon,1985-04-01
6555,Eric Dawson,1984-07-07
6558,Jeff Foote,1987-07-14
6569,Alan Anderson,1982-10-16
6574,D.J. Kennedy,1989-11-05
6576,Quincy Acy,1990-10-06
6577,Furkan Aldemir,1991-08-09
6578,Harrison Barnes,1992-05-30
6579,Will Barton,1991-01-06
6580,Bradley Beal,1993-06-28
6581,Jae Crowder,1990-07-06
6582,Jared Cunningham,1991-05-22
6583,Anthony Davis,1993-03-11
6585,Andre Drummond,1993-08-10
6586,Kim English,1988-09-24
6587,Festus Ezeli,1989-10-21
6588,Evan Fournier,1992-10-29
6589,Draymond Green,1990-03-04
6590,Justin Hamilton,1990-04-01
6591,Maurice Harkless,1993-05-11
6592,John Henson,1990-12-28
6593,Bernard James,1985-02-07
6594,John Jenkins,1991-03-06
6595,Orlando Johnson,1989-03-11
6596,Darius Johnson-Odom,1989-09-28
6597,Terrence Jones,1992-01-09
6598,Perry Jones,1991-09-24
6599,Kris Joseph,1988-12-17
6601,Michael Kidd-Gilchrist,1993-09-26
6602,Ognjen Kuzmic,1990-05-16
6603,Jeremy Lamb,1992-05-30
6604,Doron Lamb,1991-11-06
6605,Meyers Leonard,1992-02-27
6606,Damian Lillard,1990-07-15
6607,Kendall Marshall,1991-08-19
6608,Fab Melo,1990-06-20
6609,Khris Middleton,1991-08-12
6610,Darius Miller,1990-03-21
6611,Quincy Miller,1992-11-18
6612,Arnett Moultrie,1990-11-18
6613,Kevin Murphy,1990-03-06
6614,Andrew Nicholson,1989-12-08
6615,Kyle O'Quinn,1990-03-26
6616,Miles Plumlee,1988-09-01
6617,Austin Rivers,1992-08-01
6618,Thomas Robinson,1991-03-17
6619,Terrence Ross,1991-02-05
6620,Robert Sacre,1989-06-06
6621,Tomas Satoransky,1991-10-30
6622,Mike Scott,1988-07-16
6623,Tornike Shengelia,1991-10-05
6624,Jared Sullinger,1992-03-04
6625,Tyshawn Taylor,1990-04-12
6626,Marquis Teague,1993-02-28
6628,Dion Waiters,1991-12-10
6629,Royce White,1991-04-10
6630,Tony Wroten,1993-04-13
6631,Tyler Zeller,1990-01-17
6633,Robbie John Hummel,1989-03-08
6634,Hollis Thompson,1991-04-03
6635,Chris Copeland,1984-03-17
6636,Slava Kravtsov,1987-08-25
6637,Kent Bazemore,1989-07-01
6638,Maalik Wayns,1991-05-02
6639,Chris  Smith,1987-10-13
6641,Brian Roberts,1985-12-03
6644,Scott Machado,1990-06-08
6647,Henry Sims,1990-03-27
6656,Josh Emmanuel Akognon,1986-02-10
6657,Ben Hansbrough,1987-12-23
6663,Diante Garrett,1988-11-03
6666,Chris Wright,1989-11-04
2141179,Andre Ingram,1985-11-19
2198243,Aaron Jackson,1986-05-06
2202117,Arinze Onuaku,1987-07-13
2232456,Patrick Christopher,1988-06-03
2232862,Alex Stepheson,1987-08-07
2234666,Jonathan Gibson,1987-11-08
2282117,John Holland,1988-11-06
2282205,Malcolm Delaney,1989-03-11
2282622,Jacob Pullen,1989-11-10
2282734,Kalin Lucas,1989-05-24
2284046,Omari Johnson,1989-11-26
2284101,Justin Holiday,1989-04-05
2308999,Tim Ohlbrecht,1988-08-30
2309097,Damjan Rudez,1986-06-17
2325490,DeQuan Jones,1990-06-20
2325495,Larry Drew II,1990-03-05
2325499,C.J. Williams,1990-02-06
2325975,Chris Johnson,1990-04-29
2326015,Willie Reed,1990-05-16
2326257,Kevin Jones,1989-08-25
2326307,Seth Curry,1990-08-23
2326389,Chris Babb,1990-02-14
2326411,James Nunnally,1990-07-14
2326434,Casper Ware,1990-01-07
2327107,Toure' Murry,1989-11-08
2327449,Jorge Gutierrez,1988-12-27
2327465,Drew Gordon,1990-07-12
2327577,JaMychal Green,1990-06-21
2327832,Trey McKinney-Jones,1990-08-27
2328418,Scotty Hopson,1989-08-08
2333797,Jeff Withey,1990-03-07
2451037,Daniel Theis,1992-04-04
2488650,Andre Dawkins,1991-09-19
2488651,Ryan Kelly,1991-04-09
2488653,Mason Plumlee,1990-03-05
2488660,Glen Rice Jr.,1991-01-01
2488673,David Wear,1990-09-21
2488674,Travis Wear,1990-09-21
2488684,Erick Green,1991-05-09
2488689,Sean Kilpatrick,1990-01-06
2488701,Jerrelle Benimon,1991-08-01
2488706,Peyton Siva,1990-10-24
2488713,Jack Cooley,1991-04-12
2488721,Lamar Patterson,1991-08-12
2488749,James Southerland,1990-04-28
2488826,Rodney McGruder,1991-07-29
2488845,Cory Jefferson,1990-12-26
2488911,Brandon Paul,1991-04-30
2488938,Reggie Hearn,1991-08-14
2488945,Tim Frazier,1990-11-01
2488958,Solomon Hill,1991-03-18
2488977,Jamil Wilson,1990-11-21
2488999,CJ Wilcox,1990-12-30
2489010,Tony Mitchell,1989-08-07
2489021,Erik Jay Murphy,1990-10-26
2489530,Troy Daniels,1991-07-15
2489563,DJ Stephens,1990-12-19
2489660,Elias Harris,1989-07-06
2489663,Kelly Olynyk,1991-04-19
2489664,David Stockton,1991-07-24
2489693,Ryan Broekhoff,1990-08-23
2489716,Matthew Dellavedova,1990-09-08
2489785,Ian Clark,1991-03-07
2489897,Will Cherry,1991-02-08
2490089,Mike Muscala,1991-07-01
2490144,Brandon Davies,1991-07-25
2490149,CJ McCollum,1991-09-19
2490589,Isaiah Canaan,1991-05-21
2490620,Robert Covington,1990-12-14
2491063,Shayne Whittington,1991-03-27
2491079,Nate Wolters,1991-05-15
2527963,Victor Oladipo,1992-05-04
2527968,Devyn Marble,1992-09-21
2528096,Mike James,1990-08-18
2528210,Tim Hardaway Jr.,1992-03-16
2528244,Duje Dukan,1991-12-04
2528327,Kyle Collinsworth,1991-10-03
2528353,Tony Snell,1991-11-10
2528354,Cameron Bairstow,1990-12-07
2528355,Alex Kirk,1991-11-14
2528356,Jamaal Franklin,1992-07-21
2528374,J.J. O'Brien,1992-04-08
2528386,Joe Young,1992-06-27
2528393,Tarik Black,1991-11-22
2528426,Jordan Clarkson,1992-06-07
2528447,Ray McCallum,1991-06-12
2528473,Okaro White,1992-08-13
2528586,Walt Lemon Jr.,1992-07-26
2528588,Doug McDermott,1992-01-03
2528693,Torrey Craig,1990-12-19
2528779,Reggie Bullock,1991-03-16
2528787,Lorenzo Brown,1990-08-26
2528794,Joe Harris,1991-09-06
2528803,Jarell Eddie,1991-10-30
2530276,Tyler Johnson,1992-05-07
2530530,T.J. McConnell,1992-03-25
