Rank,Player,Position,Team,DOB,Age,Previous Rank,+/- Change,Notes/Outlook
55,Ivica Zubac,C,IND,1997-03-18,29.3,59.0,4,Zubac is now locked into the Pacers as a starter. I have questions about the fit but we know the talent and fantasy game is rock-solid.
56,1.06 / Mikel Brown Jr.,PG/SG,BKN,2006-04-03,20.3,67.0,11,Mikel Brown has the makings of another star fantasy guard. He's not without his concerns but the upside is very strong.
57,Brandon Ingram,SF/PF,TOR -> LAC,1997-09-02,28.9,85.0,28,Brandon Ingram takes a massive jump back to the top 50 in LAC. Tons of freedom and usage to soak up with Darius Garland as his PG. He's back to his NOLA days.
58,Kel'el Ware,C,MIA -> MIL,2004-04-20,22.2,64.0,6,"Kel'el Ware is obviously talented, but the motor has been a real concern from college to now. He joins a wide-open Bucks team and has a chance to break out."
59,Domantas Sabonis,PF/C,SAC,1996-05-03,30.2,51.0,-8,I have a lot of questions about Sabonis moving forward at age 30 and in a shaky Kings setting. Great fantasy player still.
60,James Harden,PG/SG,CLE,1989-08-26,36.9,49.0,-11,"James Harden was... well, he was James Harden again, as expected. He'll presumably sign a multi-year deal to stick around in Cleveland."
61,Kevin Durant,SF/PF,HOU,1988-09-29,37.8,52.0,-9,"KD and the Rockets have had some real turmoil this season, but it seems to have cooled out. How many more years does he have left at this level?"
62,De'Aaron Fox,PG/SG,SAS,1997-12-20,28.6,46.0,-16,Fox was frankly awful during the playoffs for the Spurs. Castle and Harper ran circles around him. His days are very numbered.
63,Stephen Curry,PG/SG,GSW,1988-03-14,38.3,57.0,-6,"Steph Curry is still Steph Curry even at age 38, but there have been a lot of times he's looked human recently. Hold and enjoy the rest of the ride."
64,Anthony Davis,PF/C,WAS,1993-03-11,33.3,53.0,-11,AD gets traded to Washington as they aim to speed up the rebuild. Curious how he and Sarr mesh.
65,OG Anunoby,SG/SF/PF,NYK,1997-07-17,29.0,72.0,7,We know what to expect with OG Anunoby at this point. He's clearly made his mark on the Knicks and is such a winning connective piece.
66,1.07 / Darius Acuff Jr.,PG,SAC,2006-11-16,19.7,76.0,10,Acuff has been a straight-up star for Arkansas and there's no telling just how much further he can keep going. Concerns are obvious and there is a chance he's a bust.
67,Derrick White,PG/SG,BOS,1994-07-02,32.0,60.0,-7,Derrick White has been incredible this year. It's amazing how good he's been for fantasy despite the uncharacteristic sub-40 FG%. 
68,Matas Buzelis,SF/PF,CHI,2004-10-03,21.8,71.0,3,"There will be some concern about Caleb Wilson in town, but I'm not worried much about Buzelis. He, Giddey and Wilson are the long-term future and should mesh well."
69,Zion Williamson,PF/C,NOP,2000-07-06,26.0,65.0,-4,"It wasn't noticed as much this past year with how bad NOLA is, but Zion quietly had another strong season. Injuries remain a concern."
70,Pascal Siakam,PF/C,IND,1994-04-02,32.3,63.0,-7,"To me, Siakam is one of the more underrated top-end dynasty players and he feels very undervalued relative to the production. Still, he is now 32."
71,Collin Murray-Boyles,PF/C,TOR,2005-06-10,21.1,95.0,24,CMB has looked like a fantasy star in the making and was excellent for the Raptors in the playoffs. Super excited for his development.
72,Tyler Herro,PG/SG,MIA -> MIL,2000-01-20,26.5,54.0,-18,"Despite going back home to Milwaukee, Herro ends up in a bit of a messy guard room. Not sure what to expect from him."
73,Jaden McDaniels,SF/PF,MIN,2000-09-29,25.8,89.0,16,McDaniels continues to flash fantasy upside as he gets better in this career year he's having. Great two-way player and is building up a reputation as an iron man.
74,Jalen Suggs,PG/SG,ORL,2001-06-03,25.1,70.0,-4,Suggs needs to stay healthy for Orlando to be at their best. Very impactful player on the whole.
75,Kyrie Irving,PG/SG,DAL,1992-03-23,34.3,75.0,0,Kyrie is coming back to Dallas with a great situation for him and Cooper Flagg. Injuries and missed time remain a concern.
76,Dyson Daniels,PG/SG,ATL,2003-03-17,23.3,69.0,-7,"Dyson Daniels remains an all-world defender for Atlanta, but he took a slight step back from last year's breakout candidate."
77,Kawhi Leonard,SG/SF,LAC -> TOR,1991-06-29,35.0,78.0,1,He's baaaaack. Kawhi returns to Toronto for another run at a championship on a very interesting Raptors team. Health (and the Aspiration scandal) remain a concern.
78,1.08 / Kingston Flemings,PG/SG,ATL,2007-01-03,19.5,86.0,8,Flemings ends up in a very favorable situation with Atlanta. He could easily work his way up to a long-term starting role. 
79,Cedric Coward,SG/SF,MEM,2003-09-11,22.8,82.0,3,"As expected, Coward has been up and down, but the highs have been very exciting. I remain high on him moving forward."
80,Ryan Rollins,PG/SG,MIL,2002-07-03,24.0,100.0,20,"Rollins has had an awesome breakout year in MIL. There's a lot of guards here now, but he is very clearly the most talented."
81,Joel Embiid,C,PHI,1994-03-16,32.3,83.0,2,Missed time remains a massive concern from Joel Embiid. He's only played 96 of 246 possible regular season games in the last three seasons. 
82,Ja Morant,PG/SG,MEM -> POR,1999-08-10,26.9,66.0,-16,"This MEM-POR trade is fascinating. If Ja really wants to turn things around, this is his chance, but he comes into a very weird lineup (Scoot, Dame, Jrue)."
83,Kyshawn George,SG/SF,WAS,2003-12-12,22.6,80.0,-3,"George might see a slight squeeze on opportunities with Dybantsa here, but he has a lot of good malleability as a role player. I'm keeping him high."
84,Jarrett Allen,C,CLE,1998-04-21,28.2,79.0,-5,Jarrett Allen continues to be Jarrett Allen. He's always younger than you'd think. Could he be a trade target with the market on bigs staying hot?
85,Ausar Thompson,SG/SF,DET,2003-01-30,23.5,90.0,5,Ausar Thompson has been an otherworldly defender in the playoffs. Is there hope the offensive breakout comes this year?
86,Reed Sheppard,PG/SG,HOU,2004-06-24,22.1,73.0,-13,"We've seen some good stuff out of Sheppard that remind us why he went so high in drafts, but the concerns are still there, especially on defense."
87,Isaiah Hartenstein,C,OKC,1998-05-05,28.2,74.0,-13,"Hartenstein ends up staying in OKC on a more cap-friendly deal. Him, Mara and Sorber make for an intriguing big man rotation."
88,Nickeil Alexander-Walker,SG/SF,ATL,1998-09-02,27.9,103.0,15,NAW rightfully won Most Improved Player this year and risen into such a high-level player under Quin Synder.
89,Derik Queen,PF/C,NOP,2004-12-27,21.5,81.0,-8,"Queen flashed very high potential so far in his rookie season. The defense remains a major concern, but I'm still bought in on some level."
90,Mikal Bridges,SG/SF,NYK,1996-08-30,29.9,84.0,-6,Mikal Bridges took a step back this year despite the Knicks winning the championship. We'll see how he bounces back.
91,1.09 / Morez Johnson Jr.,PF/C,DAL,2006-01-26,20.5,87.0,-4,Love Morez Johnson's potential fantasy game. There's a lot of pathways to becoming an elite asset for years to come. Ceiling is much higher than you think.
92,Coby White,PG/SG,CHA,2000-02-16,26.4,98.0,6,Coby White returns to Charlotte with a big contract in hand and a starting job with LaMelo gone. Are we going to see a possible return to his Chicago peak?
93,Scoot Henderson,PG/SG,POR,2004-02-03,22.4,88.0,-5,Scoot missed a lot of the season. He's had some hit-or-miss performances but he really turned it on in the playoffs. Lot of questions about POR's guards. 
94,Ace Bailey,SF/PF,UTA,2006-08-13,19.9,77.0,-17,Ace Bailey is one of the losers of Utah adding Darryn Peterson. He'll likely play the 6th man role this year if Walker Kessler sticks around.
95,Payton Pritchard,PG/SG,BOS,1998-01-28,28.5,110.0,15,Pritchard is primed for the breakout with Jaylen Brown gone. How far can he scale up with more freedom than ever before in Joe Mazzulla's offense?
96,Nic Claxton,C,BKN -> CHI,1999-04-17,27.2,96.0,0,"Claxton has trended down towards the end of the Nets years, but he's in a great place to return to form in Chicago with a clearcut role."
97,Michael Porter Jr.,SF/PF,BKN,1998-06-29,28.0,91.0,-6,MPJ takes a hit in the short term with Julius Randle now in town. Watching them play basketball on the same side of the court will be... interesting?
98,Naz Reid,PF/C,MIN -> CHA,1999-08-25,26.9,116.0,18,Naz Reid is due for a potential breakout with LaMelo Ball gone and looking like a look for a starting job.
99,Tari Eason,SF/PF,HOU,2001-05-10,25.2,97.0,-2,"Tari Eason lost tens of millions of dollars this past year, but on a relatively cheap deal, he's due for a solid year."
100,Peyton Watson,SF/PF,DEN,2002-09-11,23.8,117.0,17,Watson is a solid all-around player who could be a long-term staple for Denver. He's taken a huge leap over the last few months.
101,Immanuel Quickley,PG/SG,TOR,1999-06-17,27.1,94.0,-7,"As always, Quickley is streaky and can run hot or cold depending on the night, but he's locked into TOR for the long haul and playing well."
102,Ajay Mitchell,PG/SG,OKC,2002-06-25,24.1,120.0,18,Ajay has been incredible this year and in the playoffs. Unreal find by OKC. The leap next year could be special.
103,Egor Demin,PG/SG/SF,BKN,2006-03-03,20.4,118.0,15,"I am not one who tends to overreact to Summer League, but Egor has been extremely good. Sophomore year jump incoming."
104,1.10 / Aday Mara,C,OKC,2005-04-07,21.3,92.0,-12,"Aday Mara has a lot of high-end fantasy upside, but managers are going to need to be patient to see it emerge."
105,Julius Randle,PF,MIN -> BKN,1994-11-29,31.6,99.0,-6,Dubious Handle goes back to the Big Apple. He and Michael Porter Jr. are going to chuck up plenty of tour dates this year.
106,Anthony Black ,PG/SG/SF,ORL,2004-01-20,22.5,101.0,-5,The Magic need Anthony Black to be more consistent and closer to his strong stretch of play this past season.
107,1.11 / Brayden Burries,PG/SG,MIL,2005-09-18,20.8,105.0,-2,"Burries has played himself firmly into lottery status and possesses a lot of the winning, two-way traits you want to see in a long-term NBA starter. "
108,Jalen Green,PG/SG,PHO,2002-02-09,24.4,112.0,4,Jalen Green had a really rough first season with the Suns with all the missed time with his hamstring. Hopefully he builds momentum going into next season.
109,Jeremiah Fears,PG/SG,NOP,2006-10-14,19.7,93.0,-16,"Fears has, unsurprisingly, not been all that good or conducive to winning. The advanced numbers are bad. This is pretty normal for guards. I'm staying the course."
110,Joan Beringer,C,MIN,2006-11-11,19.7,164.0,54,Joan is rising in a big way this offseason. He gets a big time vote of confidence from Minnesota as the center of the future when Rudy Gobert's time is up.
111,Mark Williams,C,PHO,2001-12-16,24.6,106.0,-5,"Not that it ever felt super likely he'd leave, but Mark Williams does return to Phoenix on a pretty team-friendly deal. "
112,Keegan Murray,SF/PF,SAC,2000-08-19,25.9,114.0,2,"I've been low on Keegan Murray for years. I just don't know that I buy him being much more than this. Clean stat profile, but nothing too exciting."
113,Jabari Smith Jr.,PF,HOU,2003-05-13,23.2,108.0,-5,Jabari's career to date has been really disappointing. He's been a good role player with a lot of inconsistency. Very good in the playoffs though.
114,Dejounte Murray,PG/SG,NOP,1996-09-19,29.8,104.0,-10,I've raised Murray a decent bit up here as he's coming back and looking OK following the Achilles tear. I'm skeptical still about his long-term outlook but deserves the bump.
115,Miles Bridges,SF/PF,CHA -> PHO,1998-03-21,28.3,134.0,19,Miles Bridges is the new starting PF for Phoenix and gives them a clearer piece to rely on in the frontcourt.
116,Cason Wallace,PG/SG,OKC,2003-11-07,22.7,123.0,7,"It feels like Cason Wallace's fantasy upside is limited, but I still like him enough long-term with his elite defense, especially if he goes elsewhere."
117,Zach LaVine,SG/SF,SAC,1995-03-10,31.3,107.0,-10,"I think we know by now that LaVine is not super conducive to winning as a leading scorer, but the stats are stats all the same in a fantasy setting."
118,1.12 / Yaxel Lendeborg,PF,GSW,2002-09-30,23.8,105.0,-13,"If you're looking for a ready-to-go rookie with a juicy fantasy profile and tons of skills that NBA teams look for in role players, Yaxel is your man."
119,Andrew Nembhard,PG/SG,IND,2000-01-16,26.5,119.0,0,"Despite a career-PPG year, Nembhard didnt step up like we hoped he would. A step back is likely coming when Haliburton is back to form. "
120,Josh Hart,SG/SF,NYK,1995-03-06,31.4,124.0,4,Hart has shot well from 3 this year and continues to deliver on the do-everything role he's made his bread off of.
121,Khaman Malauch,C,PHO,2006-09-14,19.8,131.0,10,"Malauch was always going to require patience. If you have him, you need to understand what you signed up for. Some flashes have been interesting so far."
122,Devin Vassell,SG/SF,SAS,2000-08-23,25.9,111.0,-11,"Vassell has really struggled recently compared to these last few years. Still has plenty of potential to tap into, but he may be expendable soon."
123,Myles Turner,C,MIL,1996-03-24,30.3,113.0,-10,Turner has been pretty disappointing this year for Milwaukee. Will be interesting what the plan is with him if Giannis is traded.
124,Day'Ron Sharpe,C,BKN,2001-11-06,24.7,204.0,80,"Day'Ron Sharpe takes a big jump as the incumbent starting center. Personally, I feel that the contract (2yr/$20m) screams sell-high with such a lack of commitment."
125,Toumani Camara,SF/PF,POR,2000-05-08,26.2,133.0,8,I'm expecting a good year out of Camara with Portland lacking in their forward depth. Good role player who can do a bit of everything.
126,1.13 / Ebuka Okorie,PG/SG,DET,2007-04-10,19.3,130.0,4,"Okorie was a star for Stanford this year. Is he the star Cade Cunningham has always needed next to him? Time will tell, but there are star signs here."
127,Paul George,SG/SF/PF,PHI -> BOS,1990-05-02,36.2,170.0,43,"I've been a bit lower on PG13 for a while now, but with landing in Boston, he's taking a big step."
128,Tre Johnson,SG/SF,WAS,2006-03-07,20.4,115.0,-13,"We need to be patient and see what happens with Tre Johnson, but he will take one of the biggest hits from everything Washington has done since the trade deadline."
129,Carter Bryant,SF/PF,SAS,2005-11-26,20.6,172.0,43,Carter Bryant is a bit of a mystery box in terms of upside. The fantasy game is meh so far but the upside and phyiscal tools are very intriguing.
130,PJ Washington,PF/C,DAL,1998-08-23,27.9,122.0,-8,"PJ Washington ends up in an interesting situation with Lively hurt, Gafford on the block and having an interesting fit with Morez Johnson."
131,Shaedon Sharpe,SG/SF,POR,2003-05-30,23.1,102.0,-29,"I've been underwhelmed by Sharpe, who just doesn't possess much of a fantasy game besides scoring and hasn't played all that well relative to his high usage."
132,Norman Powell,SG/SF,MIA -> CHI,1993-05-25,33.1,139.0,7,Norman Powell has been on a heater this past year for Miami in their tinkered offense. He signs with Chicago where he'll continue to have a green light.
133,Jakob Poeltl,C,TOR,1995-10-15,30.7,109.0,-24,Poeltl's back may be cooked. Wondering if he ends up getting salary dumped but there is still hope for him.
134,1.14 / Dailyn Swain,SG/SF,CHI,2005-07-15,21.0,132.0,-2,"I have a lot of questions about Swain and how his game translates to the NBA in a new role, but the appeal as a do-everything wing/forward is all there."
135,1.15 / Hannes Steinbach,PF/C,CHA,2006-05-01,20.2,135.0,0,"Hannes is the best rebounder in the class, bar none. The athleticism and lack of defense remains a concern but the measurements at the Combine are a big positive."
136,Rudy Gobert,C,MIN,1992-06-26,34.0,137.0,1,"More of the same as usual for Rudy Gobert, who delivers on his normal. LaMelo's playmaking will help him."
137,Kristaps Porzingis,PF/C,GSW,1995-08-02,30.9,128.0,-9,Kristaps Porzingis continues to suffer from POTS and may miss time here and there. Very solid fantasy performer when he does play.
138,Ty Jerome,PG/SG,MEM,1997-07-08,29.0,141.0,3,"I'm not making much of the 15-game sample from last year, but in a starting/key 6th man role, I'm hopeful in seeing Jerome have a nice year."
139,1.16 / Bennett Stirtz,PG/SG,OKC,2003-10-03,22.8,136.0,-3,"Stirtz has some question marks, but the fantasy appeal should come with zero questions. Great shooter and is an iron man."
140,Fred VanVleet,PG/SG,HOU,1994-02-25,32.4,169.0,29,"With FVV, expect him to return to form on some level post-ACL tear. He'll be crucial to Houston's success this year."
141,Santi Aldama,SF/PF,MEM -> DAL,2001-01-10,25.5,147.0,6,"I still like Aldama, but it's hard to really know what MEM looks like at their best. I think he's a key rotation piece, but Boozer, Lopez and Stewart hurt his value."
142,John Collins,PF/C,LAC -> DET,1997-09-23,28.8,149.0,7,"John Collins heads to Detroit to replace Tobias Harris. Frankly, it's a bit of a step-down for Detroit, but it is a lateral move for Collins' fantasy value."
143,Aaron Gordon,SF/PF,DEN,1995-09-16,30.8,152.0,9,"Gordon has missed some time at different points of this year. With everyone on the table, will someone try and trade for him?"
144,Neemias Queta,C,BOS,1999-07-13,27.0,159.0,15,"Queta looked like a very solid starter for Boston this past year. Despite landing a big payday, he and Mitchell Robinson will split time."
145,Thomas Sorber,C,OKC,2005-12-25,20.6,156.0,11,I'm still willing to be patient with Thomas Sorber even though OKC's center depth looks weird right now. Very fantasy-friendly profile. 
146,LeBron James,SG/SF/PF,LAL -> FA,1984-12-30,41.5,138.0,-8,"I'm fully expecting LeBron's final year to be 2026-2027, and by default, his value is pretty much deflated from here. We'll see where he ends up."
147,Jared McCain,PG/SG,OKC,2004-02-20,22.4,127.0,-20,"McCain loses some value on the whole after going to OKC, but he's been playing extremely well with the opportunities given to him so far."
148,Jaime Jaquez Jr.,SG/SF,MIA -> MIL,2001-02-18,25.4,145.0,-3,Jaquez's strong 6MOY campaign ends with him a bit buried in Milwaukee. Expecting he gets moved if he doesn't take up a big role.
149,Bilal Coulibaly,SG/SF,WAS,2004-07-26,22.0,126.0,-23,"I think Bilal is done as far as any higher level outcomes, but he's had a good season and has some good role player outcomes here. Still very young."
150,Dereck Lively II,C,DAL,2004-02-12,22.4,129.0,-21,This next season is a make-or-break one for me with Lively. I'm largely out on him being a top 100 player again if the foot injuries continue.
151,Maxime Raynaud,PF/C,SAC,2003-04-07,23.3,163.0,12,"Raynaud has been excelling so far in Sacramento. Despite questions around the center position, he should remain a core piece."
152,Ron Holland,SF/PF,DET,2005-07-07,21.0,151.0,-1,I'm not sure Holland's true potential will ever be realized in Detroit. He's just not able to contribute much yet.
153,1.17 / Christian Anderson,PG/SG,CHA,2006-04-02,20.3,NEW,NEW,Anderson is a great shooter and playmaker who offers a lot of solid skills from a fantasy perspective. What does his role look like without LaMelo?
154,Daniel Gafford,C,DAL,1998-10-01,27.8,143.0,-11,"I expected Gafford to get traded, but with Lively's status continually up in the air, we'll see what happens."
155,RJ Barrett,SG/SF,TOR,2000-06-14,26.1,154.0,-1,RJ Barrett stays behind in Toronto and will likely remain a starter. His scoring will likely take a dip.
156,Jaylon Tyson,SG/SF,CLE,2002-12-02,23.6,146.0,-10,Tyson has evolved into a clear foundational piece for Cleveland. Not sure what the ceiling is but the highs this past year have been solid.
157,De'Andre Ayton,C,LAL -> WAS,1998-07-23,28.0,142.0,-15,"Unsurprisingly, Ayton has looked better than expected because of Luka and Reaves. Numbers are typical but I don't see more long-term upside."
158,Ayo Dosumnu,PG/SG,MIN,2000-01-17,26.5,181.0,23,Grown folks online tried saying Ayo is a bottom 10 role player in the NBA. Minnesota dropped a bag on him this offseason.
