,,,,,,,,,
,#,Player,Position,Team,DOB,Age (4/5/26),Previous Rank, +/- Change,Notes/Outlook
,36,Jamal Murray,PG/SG,DEN,2/23/1997,29.1,40,4,Murray has been great so far this year as Denver's healthiest player on the roster. He gets his first All-Star appearance and has a good shot at All-NBA.
,37,1.04 / Caleb Wilson,SF/PF,North Carolina,7/18/2006,19.8,56,19,Caleb Wilson is my current 1.04 and has a lot of juice to his fantasy game. Will need time to develop more on offense but has a ton of potential.
,38,Paolo Banchero,SF/PF,ORL,11/12/2002,23.4,32,-6,"I realize that this might be an overreaction to keeping dropping Paolo like this, but I'm still unimpressed by the fantasy game and he's had some real struggles this year."
,39,Alex Sarr,PF/C,WAS,4/26/2005,21.0,34,-5,Sarr has taken some massive steps this year and has a way cleaner profile for fantasy. He's playing extremely well for still being 20.
,40,Donovan Clingan,C,POR,2/23/2004,22.1,91,51,"Clingan has made leaps and bounds this year. With him playing like a top 20 per game guy these last few months, I'm ready to go nuts and send him way up."
,41,Jaren Jackson Jr.,PF/C,UTA,9/15/1999,26.6,39,-2,"JJJ hasn't started this season well, but I chalk that up to Memphis being a trainwreck in general. He'll be fine long-term. Intriguied by him in Utah."
,42,Jaylen Brown,SG/SF,BOS,10/24/1996,29.5,42,0,Jaylen Brown will see a temporary bump going forward with Jayson Tatum out for the entirety of next year. We'll get our first extended look at Brown as the leading man.
,43,Karl-Anthony Towns,PF/C,MIN,11/15/1995,30.4,33,-10,It's obvious that a KAT trade may be brewing soon if the Knicks cannot win in the playoffs this year.
,44,Bam Adebayo,PF/C,MIA,7/18/1997,28.8,41,-3,"Bam Adebayo has been having a good year, but who could've seen him scoring 83 points for the 2nd all-time high in points?"
,45,VJ Edgecombe,PG/SG,PHI,7/30/2005,20.7,47,2,"Edgecombe has established himself as Philly's present and future as they aim to build with him, Maxey and Embiid."
,46,De'Aaron Fox,PG/SG,SAS,12/20/1997,28.3,38,-8,Harper and Castle are making the conversation around Fox interesting. He feels very expendable as they'll start to assess payroll and getting Wemby a megadeal soon.
,47,Desmond Bane,SG/SF,ORL,6/25/1998,27.8,48,1,Bane has remained at a high level even in Orlando. He's been their mainstay all year with plenty of injuries up and down the roster.
,48,Lauri Markkanen,SF/PF,UTA,5/22/1997,28.9,49,1,"I'm not terribly worried about Lauri moving forward, either leaving via trade or with JJJ and Kessler in the frontcourt. Dude's just a good player."
,49,James Harden,PG/SG,CLE,8/26/89,36.6,51,2,Harden heads to Cleveland for another stint ended by money disputes. He's still doing his thing at a high level.
,50,1.05 / Kingston Flemings,PG/SG,Houston,1/3/2007,19.3,57,7,Flemings is well on the path to being a top 5 pick in real life and dynasty drafts. Fantastic stastical profile.
,51,Domantas Sabonis,PF/C,SAC,5/3/1996,30.0,45,-6,"Once again, Sabonis is chugging along as a stellar fantasy guy. He and Zach LaVine are the current, yet unideal, leaders of whatever Sacramento's post-Fox future is."
,52,Kevin Durant,SF/PF,HOU,9/29/1988,37.5,50,-2,KD is the very obvious best player on a team for the first time in a while and has a few more years of very high-end production. Things will look interesting with FVV out.
,53,Anthony Davis,PF/C,WAS,3/11/1993,33.1,46,-7,AD gets traded to Washington as they aim to speed up the rebuild. Curious how he and Sarr mesh.
,54,Tyler Herro,PG/SG,MIA,1/20/2000,26.2,44,-10,"Herro has had a big year despite the many Miami antics. He's missed time throughout the year, so it's hard to make much of this season."
,55,Zach Edey,C,MEM,5/14/2002,23.9,52,-3,"I've been way too low on Edey dating back to his draft cycle, so I need to course-correct. This dude is so good and has a lot more fantasy dominance to come."
,56,Brandon Miller,SF/PF,CHA,11/22/2002,23.4,54,-2,"Despite his occasional injuries, Brandon Miller continues to rise and look like one of Charlotte's franchise cornerstones. "
,57,Stephen Curry,PG/SG,GSW,3/14/1988,38.1,53,-4,"Steph Curry is still Steph Curry even at age 37, but there have been a lot of times he's looked human recently. Hold and enjoy the rest of the ride."
,58,Stephon Castle,PG/SG/SF,SAS,11/1/2004,21.5,59,1,Early returns have been nice on Castle despite loads of turnovers. I expect this to adjust when Fox returns and he can settle into a different role.
,59,Ivica Zubac,C,IND,3/18/1997,29.1,55,-4,"Zubac is great for dynasty and redraft, and I was a bit slow to react to market value in my last few updates. Very consistent. Unsure about the Indiana tempo and fit."
,60,Derrick White,PG/SG,BOS,7/2/1994,31.8,72,12,Derrick White has been incredible this year. It's amazing how good he's been for fantasy despite the uncharacteristic sub-40 FG%. 
,61,Keyonte George,PG/SG,UTA,11/8/2003,22.4,82,21,George has played with a real sense of urgency to make that leap this year. He's here and establishing he belongs as a longer term starter.
,62,Onyeka Okongwu,PF/C,ATL,12/11/2000,25.4,66,4,Okongwu continues to grow his game further as he expands his game from 3. Currently 37.9% from deep on 5.2 attempts. 
,63,Pascal Siakam,PF/C,IND,4/2/1994,32.0,58,-5,Siakam has been great for the Pacers as we expected. This year without Haliburton has been rough for the team but Siakam still plays at a high level.
,64,Kel'el Ware,C,MIA,4/20/2004,22.0,62,-2,"Kel'el Ware is obviously talented, but the motor has been a real concern from college to now. He and Spoelstra seem to be at odds. "
,65,Zion Williamson,PF/C,NOP,7/6/2000,25.8,63,-2,"It hasn't been noticed as much this year with how bad NOLA is, but Zion is quietly having another solid season. Injuries remain a concern."
,66,Ja Morant,PG/SG,MEM,8/10/1999,26.7,64,-2,"Ja has really struggled badly this year and with drama brewing in Memphis, I want no part of him at cost even if he still mantains some value."
,67,1.06 / Keaton Wagler,PG/SG,Illinois,2/3/2007,19.2,68,-1,"Wagler has been incredible this season. He has some concern areas and needs to put on more weight, but the higher-level outcomes are very exciting."
,68,Walker Kessler,C,UTA,7/26/2001,24.7,76,8,"Kessler suffered a brutal season-ending injury just a few games in. Really tough situation for Utah, but it's clear they want him and JJJ for the present and future."
,69,Dyson Daniels,PG/SG,ATL,3/17/2003,23.1,60,-9,Daniels was a stocks god this past season. His upside feels pretty awesome with the Hawks and he rightfully earned MIP this year. Is he a sell high at this price? TBD.
,70,Jalen Suggs,PG/SG,ORL,6/3/2001,24.9,89,19,Suggs needs to stay healthy for Orlando to be at his best. Very impactful player on the whole.
,71,Matas Buzelis,SF/PF,CHI,10/3/2004,21.5,67,-4,The Bulls' future is Buzelis' oyster now. Some brilliant flashes and more to come. There's a lot here to be excited about.
,72,OG Anunoby,SG/SF/PF,NYK,7/17/1997,28.8,68,-4,We know what to expect with OG Anunoby at this point. He's clearly made his mark on the Knicks and is such a winning connective piece.
,73,Reed Sheppard,PG/SG,HOU,6/24/2004,21.8,74,1,"We've seen some good stuff out of Sheppard that remind us why he went so high in drafts, but the concerns are still there."
,74,Isaiah Hartenstein,C,OKC,5/5/1998,28.0,70,-4,Hartenstein has recently been banged up with a hamstring sprain that's had him in and out. Very important player that OKC may get priced out of.
,75,Kyrie Irving,PG/SG,DAL,3/23/1992,34.1,71,-4,Kyrie was playing great until a devastating ACL tear. He was already approaching the end of his prime and this does leave some strong questions about the future.
,76,1.07 / Mikel Brown Jr.,PG/SG,Louisville,4/3/2006,20.0,69,-7,Mikel Brown has the makings of another star fantasy guard. He's not without his concerns but the upside is very strong.
,77,Ace Bailey,SF/PF,UTA,8/13/2006,19.7,75,-2,A lot has changed for Utah from when Bailey was drafted to now. I expect him to take another jump next year after having a good stretch this year.
,78,Kawhi Leonard,SG/SF,LAC,6/29/1991,34.8,102,24,"When he plays, he's an elite fantasy player. Will Kawhi ever play a normal regular season again? What will happen with his Aspiration scandal?"
,79,Jarrett Allen,C,CLE,4/21/1998,28.0,81,2,Jarrett Allen has been excellent since James Harden joined the Cavs about a month ago. Is he expendable moving forwrd?
,80,Kyshawn George,SG/SF,WAS,12/12/2003,22.3,83,3,"George has absolutely early into the season, but he's slowed down in 2026 a bit. Expecting solid things from him."
,81,Derik Queen,PF/C,NOP,12/27/2004,21.3,61,-20,"Queen has flashed very, very high potential so far in his rookie season. The defense remains a major concern, but I'm still bought in on some level."
,82,Cedric Coward,SG/SF,MEM,9/11/2003,22.6,86,4,"As expected, Coward has been up and down, but the highs have been very exciting. I remain high on him moving forward."
,83,Joel Embiid,C,PHI,3/16/1994,32.1,87,4,"Embiid is clearly not the guy he was in his last healthy season as the MVP, but he can still drop big numbers. "
,84,Mikal Bridges,SG/SF,NYK,8/30/1996,29.6,73,-9,"Mikal has had some bad play recently, but he is still a quality fantasy player who produces well for categories leagues."
,85,Brandon Ingram,SF/PF,TOR,9/2/1997,28.6,78,-7,Ingram has had a good year for Toronto where he's stayed very healthy. Nothing new with his numbers but his production remains strong at cost.
,86,1.08 / Jayden Quaintance,PF/C,Kentucky,7/11/2007,18.8,80,1,"Quaintance has the makings of an elite NBA defender, but I need to see more on the offensive end. He may have limited potential if that doesn't improve."
,87,1.09 / Brayden Burries,PG/SG,Arizona,9/18/2005,20.6,NEW,43,"Burries has played himself firmly into lottery status and possesses a lot of the winning, two-way traits you want to see in a long-term NBA starter. "
,88,Scoot Henderson,PG/SG,POR,2/3/2004,22.2,77,-6,Scoot missed a lot of the season and started out very slow. He's had some hit-or-miss performances since returning. Lot of questions about him moving forward.
,89,Jaden McDaniels,SF/PF,MIN,9/29/2000,25.5,88,-1,McDaniels continues to flash fantasy upside as he gets better in this career year he's having. Great two-way player and is building up a reputation as an iron man.
,90,Ausar Thompson,SG/SF,DET,1/30/2003,23.2,65,-35,Ausar has continued to struggle progressing on offense. He's still got loads of upside and is a fantastic defender but I don't know what more he'll become.
,91,Michael Porter Jr.,SF/PF,BKN,6/29/1998,27.8,95,-3,MPJ has been playing at an All-Star level this year even if some of it is pretty Mickey Mouse. He's going to be very important to Brooklyn's tank.
,92,1.10 / Darius Acuff Jr.,PG,Arkansas,11/16/2006,19.4,93,1,Acuff has been a straight-up star for Arkansas and there's no telling just how much further he can keep going. Concerns are obvious and there is a chance he's a bust.
,93,Jeremiah Fears,PG/SG,NOP,10/14/2006,19.5,79,-14,"Fears has, unsurprisingly, not been all that great or conducive to winning advanced numbers. This is pretty normal for guards. I'm staying the course."
,94,Immanuel Quickley,PG/SG,TOR,6/17/1999,26.8,84,-3,"As always, Quickley is streaky and can run hot or cold depending on the night, but he's locked into TOR for the long haul and playing well."
,95,Collin Murray-Boyles,PF/C,TOR,6/10/2005,20.9,120,25,"CMB has been brilliant in his best moments this season in Toronto. It's easy to see how he fits into this offense. Future All-Defense guy, for sure."
,96,Nic Claxton,C,BKN,4/17/1999,27.0,101,5,"There is still a lingering possibility of a Nic Claxton trade, but he's been a mainstay for Brooklyn. Would love to see the 2+ blocks coincide with the increase in assists."
,97,Tari Eason,SF/PF,HOU,5/10/2001,24.9,92,-5,"Eason hasn't been quite as good this year, but there has been an uptick from 3. Availability remains an issue."
,98,Coby White,PG/SG,CHA,2/16/2000,26.2,90,-8,I love the fit of Coby White as the 6th man in Charlotte. He's been ramping back up due to injury but his best moments so far in Charlotte are exciting.
,99,Julius Randle,PF,MIN,11/29/1994,31.4,93,-6,"Randle has mostly rebounded to his old self in Minny. Sometimes you get Julius Randle, sometimes you get Dubious Handle."
,100,Ryan Rollins,PG/SG,MIL,7/3/2002,23.8,107,7,Rollins has had an awesome breakout year in Milwaukee. He's very clearly the best guard on the Bucks right now.
,101,Anthony Black ,PG/SG/SF,ORL,1/20/2004,22.2,129,28,"Black was on fire for a lot of this 3rd season that should get him some MIP votes. He's quieted down a little recently, but he's had a fantastic year on the whole."
,102,Shaedon Sharpe,SG/SF,POR,5/30/2003,22.9,99,3,"I've been underwhelmed by Sharpe, who just doesn't possess much of a fantasy game besides scoring and hasn't played all that well relative to his high usage."
,103,Nickeil Alexander-Walker,SG/SF,ATL,9/2/1998,27.6,140,37,"NAW has blossomed in Atlanta and looks like a pivotal piece, especially with Trae Young gone. He's up to 20.3 PPG on the year."
,104,Dejounte Murray,PG/SG,NOP,9/19/1996,29.6,132,28,I've raised Murray a decent bit up here as he's coming back and looking OK following the Achilles tear. I'm skeptical still about his long-term outlook but deserves the bump.
,105,1.11 / Aday Mara,C,Michigan,4/7/2005,21.0,NEW,NEW,"I've been getting higher and higher on Aday Mara, and I think I'm ready to firmly commit to the idea the fantasy ceiling could be very, very high."
,106,Mark Williams,C,PHO,12/16/2001,24.3,94,-12,More of the same for Mark Williams in Phoenix as he's taken a slight step back in the numbers on a winning team.
,107,Zach LaVine,SG/SF,SAC,3/10/1995,31.1,103,-5,"I think we know by now that LaVine is not super conducive to winning as a leading scorer, but the stats are stats all the same in a fantasy setting."
,108,Jabari Smith Jr.,PF,HOU,5/13/2003,22.9,110,1,"Smith's fantasy appeal is clear, but he's struggled with inconsistency. He's had stretches where he's impressed and disappointed me this year."
,109,Jakob Poeltl,C,TOR,10/15/1995,30.5,97,-13,"Poeltl had himself a career year and he finally got paid. This year, he's regressed a bit and the back stuff is concerning."
,110,Payton Pritchard,PG/SG,BOS,1/28/1998,28.2,111,0,Pritchard struggled early in the year but is putting up some big shotmaking performances on a wide open Boston team.
,111,Devin Vassell,SG/SF,SAS,8/23/2000,25.7,115,3,"Vassell has really struggled recently compared to these last few years. Still has plenty of potential to tap into, but he may be expendable soon."
,112,Jalen Green,PG/SG,PHO,2/9/2002,24.2,98,-15,"To be fair, Green has been hurt for a majority of the year and been slow coming back from the hamstring... but he's been straight up bad numbers wise."
,113,Myles Turner,C,MIL,3/24/1996,30.1,85,-29,Turner has been pretty disappointing this year for Milwaukee. Will be interesting what the plan is with him if Giannis is traded.
,114,Keegan Murray,SF/PF,SAC,8/19/2000,25.7,109,-6,"I've been low on Keegan Murray for years. I just don't know that I buy him being much more than this. Clean stat profile, but nothing too exciting."
,115,Tre Johnson,SG/SF,WAS,3/7/2006,20.1,105,-11,"Like Bailey, Tre Johnson has a game more for points leagues. He's a solid shooter and I'm curious how the role looks next year with everyone healthy."
,116,Naz Reid,PF/C,MIN,8/25/1999,26.6,104,-13,Naz Reid is looking like the current choice for 6th Man of the Year as of now. He remains important for Minnesota but there's a chance he gets traded at some point.
,117,Peyton Watson,SF/PF,DEN,9/11/2002,23.6,204,86,Watson is a solid all-around player who could be a long-term staple for Denver. He's taken a huge leap over the last few months.
,118,Egor Demin,PG/SG/SF,BKN,3/3/2006,20.1,108,-11,"Demin has a lot of fantasy upside when considering his archetype. He's become a really excellent shooter so far, which is crazy to say after what we saw at BYU."
,119,Andrew Nembhard,PG/SG,IND,1/16/2000,26.3,116,-4,"Without Haliburton, Nembhard has had a solid year. He has good role malleability and it's encouraging to see the improvements from 3."
,120,Ajay Mitchell,PG/SG,OKC,6/25/2002,23.8,128,7,Mitchell remains high and has been very important for this OKC squad. He's a great buy at cost if you think he could take another leap here or elsewhere.
,121,1.12 / Dailyn Swain,SF/PF,Texas,7/15/2005,20.8,NEW,NEW,"I have a lot of questions about Swain and how his game translates to the NBA in a new role, but the appeal as a do-everything wing/forward is all there."
,122,PJ Washington,PF/C,DAL,8/23/1998,27.7,112,-11,"PJ Washington has been playing well in Dallas, but there's a real logjam right now with him, AD, Gafford and Lively still here."
,123,Cason Wallace,PG/SG,OKC,11/7/2003,22.4,131,7,"It feels like Cason Wallace's fantasy upside is limited, but I still like him enough long-term with his elite defense, especially if he goes elsewhere."
,124,Josh Hart,SG/SF,NYK,3/6/1995,31.1,121,-4,Hart has shot well from 3 this year and continues to deliver on the do-everything role he's made his bread off of.
,125,Jonathan Kuminga,SF/PF,ATL,10/6/2002,23.5,130,4,Kuminga has started to take another step forward being away from Golden State and Steve Kerr. Numbers are looking decent for Atlanta.
,126,Bilal Coulibaly,SG/SF,WAS,7/26/2004,21.7,137,10,"I think Bilal is done as far as any higher level outcomes, but he's had a good season and has some good role player outcomes here. Still very young."
,127,Jared McCain,PG/SG,OKC,2/20/2004,22.2,96,-32,"McCain loses some value on the whole after going to OKC, but he's been playing extremely well with the opportunities given to him so far."
,128,Kristaps Porzingis,PF/C,GSW,8/2/1995,30.7,106,-23,Kristaps Porzingis continues to suffer from POTS and has been in and out of lineups all year for Atlanta and Golden State.
,129,Dereck Lively II,C,DAL,2/12/2004,22.2,113,-17,Lively is set to miss the rest of the 2025-2026 season with yet another foot injury. I am out on him ever being a top 75 dynasty asset in his career again.
,130,1.13 / Yaxel Lendeborg,PF,Michigan,9/30/2002,23.5,NEW,NEW,"If you're looking for a ready-to-go rookie with a juicy fantasy profile and tons of skills that NBA teams look for in role players, Yaxel is your man."
,131,Khaman Malauch,C,PHO,9/14/2006,19.6,127,-5,"Malauch was always going to require patience. If you have him, you need to understand what you signed up for. Some flashes have been interesting so far."
,132,1.14 / Patrick Ngongba II,C,Duke,2/13/2006,20.2,NEW,NEW,"I have some skepticism on Ngongba as a prospect, but the fantasy profile is juicy for the center stuff we like in a shot blocker and rim protector with good touch."
,133,Toumani Camara,SF/PF,POR,5/8/2000,25.9,119,-15,"Really like Camara, but the problem areas this year have been strongly felt in the fantasy space."
,134,Miles Bridges,SF/PF,CHA,3/21/1998,28.1,114,-19,"With how hot the Hornets have been this month, I'm not sure if Bridges will be traded or not, but there is some interest around the league. "
,135,1.15 / Labaron Philon,PG/SG,Alabama,11/24/2005,20.4,NEW,-2,Philon has leveled up this year as a sophomore with Alabama. He has a good guard profile and will be a mid-10s pick in most dynasty drafts as of now.
,136,1.16 / Nate Ament,SF/PF,Tennessee,12/10/2006,19.4,NEW,NEW,"Ament struggled badly for part of his freshman season, but he's come into his own down the stretch. At cost, he's an interesting investment despite the concern areas."
,137,Rudy Gobert,C,MIN,6/26/1992,33.8,149,15,"More of the same as usual for Rudy Gobert, who delivers on his normal. He's having yet another All-Defense season."
,138,LeBron James,SG/SF/PF,LAL,12/30/1984,41.3,117,-22,"I'm fully expecting LeBron's final year to be this year or next, and by default, his value is pretty much deflated from here. If you have him, you're holding until the end."
,139,Norman Powell,SG/SF,MIA,5/25/1993,32.9,153,13,Norman Powell has been on a heater this year for Miami in their tinkered offense. He'll be a great name for trivia on random 1x All-Stars.
,140,Christian Braun,SG/SF,DEN,4/17/2001,25.0,118,-23,I'm still in on Christian Braun being a good player once he returns to full-game speed and is healthy. Good time to panic buy.
,141,Ty Jerome,PG/SG,MEM,7/8/1997,28.8,159,4,"It's early, but Ty Jerome has been standing out in a huge way for Memphis when healthy. "
,142,De'Andre Ayton,C,LAL,7/23/1998,27.7,125,-6,"Unsurprisingly, Ayton has looked better than expected because of Luka and Reaves. Numbers are typical but I don't see a lot of long-term upside still."
,143,Daniel Gafford,C,DAL,10/1/1998,27.5,139,4,"With Anthony Davis shipped off to Washington, Gafford's place in the rotation is a lot less muddy again."
,144,Nikola Topic,PG/SG,OKC,8/10/2005,20.7,138,9,Nikola Topic has returned from his testicular cancer treatment. He's played very few NBA minutes and is ramping up in the G League. We remain patient with him.
,145,Jaime Jaquez Jr.,SG/SF,MIA,2/18/2001,25.2,150,-6,Jaime Jaquez Jr. has had a solid year as he's played a steady role off the bench. His stats have been excellent.
,146,Jaylon Tyson,SG/SF,CLE,12/2/2002,23.4,163,-7,Tyson climbed my boards quick over the last few months. He's having an excellent sophomore season as one of Cleveland's few bright spots for some of this year.
,147,Santi Aldama,PF/C,MEM,1/10/2001,25.3,126,-4,"I still really like Santi Aldama, but it's hard to really figure out what Memphis looks like at their best. I think he's a key piece and I like his value at cost."
,148,Brandin Podziemski,PG/SG/SF,GSW,2/25/2003,23.1,135,7,"Statistically, Podz has had a fine, inconsistent year. The conversations on Twitter would make you think it's way worse."
,149,John Collins,PF/C,LAC,9/23/1997,28.6,148,-1,Collins continues to play at his normal pace. He's played well after the Zubac trade but has had some nagging injuries.
,150,Kevin Porter Jr.,PG/SG,MIL,5/4/2000,26.0,191,40,"Sorry if others are significantly higher on KPJ than me, but he is a bad IRL player that is not conducive to winning. I'm selling where I can."
,151,Ron Holland,SF/PF,DET,7/7/2005,20.8,122,-7,Holland is playing a key bench role for Detroit. Still has a lot ways to go but is flashing lots of nice potential at 20.
,152,Aaron Gordon,SF/PF,DEN,9/16/1995,30.6,134,-19,Gordon has missed some time at different points of the year. Denver has really missed him.
,153,Moussa Diabate,PF/C,CHA,1/21/2002,24.2,197,45,"It's hard to say who actually is the best suited starter is in CHA (or if they are on the roster right now). Still, Moussa is making a strong case against Kalkbrenner."
,154,RJ Barrett,SG/SF,TOR,6/14/2000,25.8,133,-22,"Barrett continues to score well in Toronto and is still younger than you'd think, but he's not much of a fantasy player unless you're in points leagues."
,155,Aaron Nesmith,SF/PF,IND,10/16/1999,26.5,160,4,Nesmith missed some time this past year and has come back hard with some big games in the playoffs. Very underrated player. 
,156,Thomas Sorber,C,OKC,12/25/2005,20.3,151,-6,Sorber has a great fantasy profile and has what it takes to be a good starter in OKC. He will miss 2025-2026 with a torn ACL. Good buy-low opportunity for rebuilders.
,157,Cameron Johnson,SF/PF,DEN,3/3/1996,30.1,141,-17,Cam Johnson has taken a step back this year in general and he's trending down on the whole. Good chance he gets salary dumped this offseason.
,158,Malik Monk,PG/SG/SF,SAC,2/4/1998,28.2,136,-23,"Look, I was too high on Monk and dropped him in my ranks, but to go from last year to now is ridiculous. Could be an intriguing buy-low candidate."
,159,Neemias Queta,C,BOS,7/13/1999,26.8,182,22,"Queta is far from your ideal NBA starting center, but he's looked decent for Boston all things considered. Good fantasy numbers."
,160,Will Riley,SF/PF,WAS,2/10/2006,20.2,264,103,Will Riley in Washington makes total sense when you look at what they value. He's been a monster down the stretch and may keep flying up my boards.
,161,Quentin Grimes,SG/SF,PHI,5/8/2000,25.9,145,-17,"Grimes has had a lot of moments of quality play, but just like the rest of his career to date, he can be wildly inconsistent."
,162,Bennedict Mathurin,SG/SF,LAC,6/19/2002,23.8,144,-19,More of the same from Bennedict Mathurin for the Clippers now. I expect him to play a 6th man role this next season.
