season,team,player,jersey,pos,height,weight,dob,age,yos,draft,nationality,birthplace,pre_draft,prior_team,contract,fa_year,salary_26_27
2026-27,BOS,Paul George,,F,6'8,220,05/02/90,36.19,16,2010-10,USA,CA - Palmdale,Fresno State,Philadelphia 76ers,4 yr / $212M,2027 +1,54126380
2026-27,BOS,Hugo Gonzalez,28,F,6'6,200,02/05/06,20.41,1,2025-28,ESP,Spain - Madrid,Real Madrid (Spain),Boston Celtics,4 yr / $14.3M,2027 +2,2923560
2026-27,BOS,Ron Harper Jr.,13,F,6'5,235,04/12/00,26.23,4,2022-ND,USA,NJ - Paterson,Rutgers,Boston Celtics,3 yr / $9M,2029,2626248
2026-27,BOS,Sam Hauser,30,F,6'7,215,12/08/97,28.58,5,2021-ND,USA,WI - Green Bay,Virginia,Boston Celtics,4 yr / $45M,2029,10848215
2026-27,BOS,Dillon Mitchell,20,F,6'8,210,10/03/03,22.75,R,2026-40,USA,FL - Spring Hill,St. John's,St. John's,2nd Rd Pick,,
2026-27,BOS,Payton Pritchard,11,G,6'1,195,01/28/98,28.44,6,2020-26,USA,OR - Tualatin,Oregon,Boston Celtics,4 yr / $30M,2028,7767857
2026-27,BOS,Neemias Queta,88,C,7'0,250,07/13/99,26.98,5,2021-39,POR,Portugal - Lisbon,Utah State,Boston Celtics,4 yr / $56.5M,2031,2667944
2026-27,BOS,Mitchell Robinson,,C,7'0,240,04/01/98,28.27,8,2018-36,USA,FL - Pensacola,Did Not Play,New York Knicks,3 yr / $47.4M,2028 +1,15044000
2026-27,BOS,Baylor Scheierman,55,G,6'6,205,09/26/00,25.77,2,2024-30,USA,NE - Hastings,Creighton,Boston Celtics,4 yr / $12.8M,2027 +1,2744040
2026-27,BOS,Jayson Tatum,0,F,6'8,210,03/03/98,28.34,9,2017-03,USA,MO - St. Louis,Duke,Boston Celtics,5 yr / $314M,2029 +1,58456566
2026-27,BOS,John Tonje,8,G,6'4,220,04/23/01,25.20,1,2025-53,USA,NE - North Omaha,Wisconsin,Boston Celtics,RFA,,
2026-27,BOS,Milos Uzan,,G,6'3,185,12/26/02,23.52,R,2026-ND,USA,NV - Las Vegas,Houston,Houston,Exhibit 10,,
2026-27,BOS,Jordan Walsh,27,F,6'6,205,03/04/04,22.34,3,2023-38,USA,TX - Dallas,Arkansas,Boston Celtics,4 yr / $7.6M,2027,2406205
2026-27,BOS,Derrick White,9,G,6'4,190,07/02/94,32.01,9,2017-29,USA,CO - Parker,Colorado,Boston Celtics,4 yr / $118M,2028 +1,30348000
2026-27,BOS,Amari Williams,77,F,6'11,250,01/28/02,24.43,1,2025-46,ENG,England - Nottingham,Kentucky,Boston Celtics,Two-Way,,
2026-27,BKN,Tyler Bilodeau,34,F,6'7,230,04/17/04,22.21,R,2026-43,USA,MT - Billings,UCLA,UCLA,Two-Way,,
2026-27,BKN,Dion Brown,33,G,6'3,185,05/26/03,23.11,R,2026-ND,USA,MA - Great Barrington,Saint Louis,Saint Louis,Exhibit 10,,
2026-27,BKN,Mikel Brown Jr.,0,G,6'3,190,04/03/06,20.25,R,2026-06,USA,FL - Orlando,Louisville,Louisville,4 yr / $39.9M,2028 +2,8789160
2026-27,BKN,Noah Clowney,21,F,6'10,210,07/14/04,21.97,3,2023-21,USA,SC - Spartanburg,Alabama,Brooklyn Nets,4 yr / $15.1M,2027,5414034
2026-27,BKN,Egor Demin,8,G,6'8,200,03/03/06,20.34,1,2025-08,RUS,Russia - Moscow,BYU,Brooklyn Nets,4 yr / $31.3M,2027 +2,7233720
2026-27,BKN,Keon Ellis,,G,6'4,175,01/28/00,26.50,4,2022-ND,USA,FL - Eustis,Alabama,Cleveland Cavaliers,2 yr / $18M,2028,8780488
2026-27,BKN,Ben Humrichous,12,F,6'9,225,07/28/02,23.94,R,2026-ND,USA,IN - Tipton,Illinois,Illinois,Exhibit 10,,
2026-27,BKN,Joshua Jefferson,9,F,6'7,245,11/21/03,22.62,R,2026-28,USA,NV - Las Vegas,Iowa State,Iowa State,4 yr / $15.3M,2028 +2,2970240
2026-27,BKN,Chaney Johnson,31,F,6'7,220,06/20/02,24.04,1,2025-ND,USA,AL - Alabaster,Auburn,Brooklyn Nets,Two-Way,,
2026-27,BKN,Terance Mann,14,G,6'6,215,10/18/96,29.72,7,2019-48,USA,NY - Brooklyn,Florida State,Brooklyn Nets,3 yr / $47M,2028,15500000
2026-27,BKN,Josh Minott,00,F,6'8,205,11/25/02,23.61,4,2022-45,USA,FL - Boca Raton,Memphis,Brooklyn Nets,2 yr / $9M,2027 +1,4326923
2026-27,BKN,Michael Porter Jr.,17,F,6'10,220,06/29/98,28.02,7,2018-14,USA,IN - Indianapolis,Missouri,Brooklyn Nets,5 yr / $179M,2027,40806150
2026-27,BKN,Drake Powell,4,G,6'5,195,09/08/05,20.82,1,2025-22,USA,NC - Durham,North Carolina,Brooklyn Nets,4 yr / $16.7M,2027 +2,3540600
2026-27,BKN,Julius Randle,,F,6'9,250,11/29/94,31.60,12,2014-07,USA,TX - Dallas,Kentucky,Minnesota Timberwolves,3 yr / $100M,2027 +1,33333334
2026-27,BKN,Ben Saraf,77,G,6'6,200,04/14/06,20.22,1,2025-26,ISR,South Africa - Johannesburg,Ratiopharm Ulm (Germany),Brooklyn Nets,4 yr / $14.8M,2027 +2,3028560
2026-27,BKN,Day'Ron Sharpe,20,C,6'10,265,11/06/01,24.66,5,2021-29,USA,NC - Greenville,North Carolina,Brooklyn Nets,2 yr / $20M,2028,9615385
2026-27,BKN,Malachi Smith,18,G,6'4,205,12/06/99,26.58,1,2023-ND,USA,IN - Evansville,Gonzaga,Brooklyn Nets,2 yr / $2.2M,2027,2150917
2026-27,BKN,Nolan Traore,88,G,6'3,185,05/28/06,20.10,1,2025-19,FRA,France - Creteil,Saint-Quentin (France),Brooklyn Nets,4 yr / $18.5M,2027 +2,4002000
2026-27,BKN,Moritz Wagner,,C,6'11,245,04/26/97,29.21,8,2018-25,GER,Germany - Berlin,Michigan,Orlando Magic,2 yr / $19M,2027 +1,9268293
2026-27,BKN,Danny Wolf,2,F,6'11,250,05/05/04,22.16,1,2025-27,USA,IL - Glencoe,Michigan,Brooklyn Nets,4 yr / $14.4M,2027 +2,2941440
2026-27,CHA,Michael Ajayi,,F,6'7,230,06/23/03,23.03,R,2026-ND,USA,WA - Kent,Butler,Butler,Two-Way,,
2026-27,CHA,Grayson Allen,,G,6'3,200,10/08/95,30.75,8,2018-21,USA,FL - Jacksonville,Duke,Phoenix Suns,4 yr / $70M,2027 +1,18125000
2026-27,CHA,Christian Anderson,5,G,6'1,180,04/02/06,20.25,R,2026-18,"GER, USA",GA - Atlanta,Texas Tech,Texas Tech,4 yr / $20.6M,2028 +2,4258560
2026-27,CHA,Kylan Boswell,,G,6'1,225,04/18/05,21.21,R,2026-ND,USA,IL - Champaign,Illinois,Illinois,Two-Way,,
2026-27,CHA,Pat Connaughton,21,G,6'5,210,01/06/93,33.50,11,2015-41,USA,MA - Arlington,Notre Dame,Charlotte Hornets,2 yr / $5.1M,2027,3815861
2026-27,CHA,Moussa Diabate,14,C,6'10,210,01/21/02,24.45,4,2022-43,FRA,France - Paris,Michigan,Charlotte Hornets,3 yr / $5.7M,2027,2416462
2026-27,CHA,Dorian Finney-Smith,,F,6'7,220,05/04/93,33.19,10,2016-ND,USA,VA - Portsmouth,Florida,Houston Rockets,4 yr / $52.7M,2028 +1,13335000
2026-27,CHA,Wyatt Fricks,,F,6'10,205,11/17/02,23.63,R,2026-ND,USA,GA - Lawrenceville,Marshall,Marshall,Exhibit 10,,
2026-27,CHA,PJ Hall,16,C,6'8,245,02/21/02,24.37,2,2024-ND,USA,SC - Spartanburg,Clemson,Charlotte Hornets,Two-Way,,
2026-27,CHA,Sion James,4,G,6'5,220,12/04/02,23.58,1,2025-33,USA,GA - Sugar Hill,Duke,Charlotte Hornets,4 yr / $10M,2028 +1,2411090
2026-27,CHA,Ryan Kalkbrenner,11,C,7'1,255,01/17/02,24.46,1,2025-34,USA,MO - St. Louis,Creighton,Charlotte Hornets,4 yr / $10M,2028 +1,2411090
2026-27,CHA,Kon Knueppel,7,G,6'6,215,08/03/05,20.92,1,2025-04,USA,WI - Milwaukee,Duke,Charlotte Hornets,4 yr / $45.5M,2027 +2,10516560
2026-27,CHA,Max MacKinnon,,F,6'5,195,10/09/03,22.74,R,2026-ND,AUS,Australia - Brisbane,LSU,LSU,Exhibit 10,,
2026-27,CHA,Tre Mann,23,G,6'4,180,02/03/01,25.42,5,2021-18,USA,FL - Gainesville,Florida,Charlotte Hornets,3 yr / $24M,2027 +1,8000000
2026-27,CHA,Liam McNeeley,33,F,6'7,210,10/10/05,20.73,1,2025-29,USA,TX - Richardson,Connecticut,Charlotte Hornets,4 yr / $14.2M,2027 +2,2902080
2026-27,CHA,Royce O'Neale,00,F,6'6,225,06/05/93,33.09,9,2015-ND,USA,TX - Killeen,Baylor,Phoenix Suns,4 yr / $42M,2028,10875000
2026-27,CHA,Brandon Miller,24,F,6'7,200,11/22/02,23.62,3,2023-02,USA,TN - Nashville,Alabama,Charlotte Hornets,4 yr / $49.4M,2027,15104626
2026-27,CHA,Antonio Reeves,12,G,6'5,205,11/20/00,25.62,2,2024-47,USA,IL - Chicago,Kentucky,Charlotte Hornets,RFA,,
2026-27,CHA,Naz Reid,,C,6'9,265,08/26/99,26.86,7,2019-ND,USA,NJ - Asbury Park,LSU,Minnesota Timberwolves,5 yr / $125M,2029 +1,23275862
2026-27,CHA,Tidjane Salaun,31,F,6'10,205,08/10/05,20.90,2,2024-06,FRA,France - Paris,Cholet (France),Charlotte Hornets,4 yr / $34M,2027 +1,8237880
2026-27,CHA,Hannes Steinbach,22,F,6'10,250,05/01/06,20.18,R,2026-14,GER,Germany - Wurzburg,Washington,Washington,4 yr / $25M,2028 +2,5228400
2026-27,CHA,Coby White,3,G,6'4,195,02/16/00,26.38,7,2019-07,USA,NC - Goldsboro,North Carolina,Charlotte Hornets,3 yr / $74M,2029,22839506
2026-27,CHA,Grant Williams,2,F,6'7,235,11/30/98,27.60,7,2019-22,USA,TX - Houston,Tennessee,Charlotte Hornets,4 yr / $53.3M,2027,14265750
2026-27,CHA,Latrell Wrightsell Jr.,,G,6'3,190,05/18/01,25.13,R,2026-ND,USA,NE - Omaha,Alabama,Alabama,Exhibit 10,,
2026-27,CHI,Donovan Atwell,,G,6'5,200,04/27/03,23.19,R,2026-ND,USA,NC - Davidson,Texas Tech,Texas Tech,Exhibit 10,,
2026-27,CHI,Tobe Awaka,,F,6'8,260,01/30/04,22.43,R,2026-ND,USA,NY - Poughkeepsie,Arizona,Arizona,Two-Way,,
2026-27,CHI,Matas Buzelis,14,F,6'8,210,10/13/04,21.72,2,2024-11,"LTU, USA",IL - Chicago,G League Ignite,Chicago Bulls,4 yr / $24M,2027 +1,5715360
2026-27,CHI,Nic Claxton,,C,6'11,215,04/17/99,27.22,7,2019-31,USA,SC - Greenville,Georgia,Brooklyn Nets,4 yr / $97M,2028,23320738
2026-27,CHI,Zach Collins,12,C,6'9,250,11/19/97,28.64,8,2017-10,USA,NV - Las Vegas,Gonzaga,Chicago Bulls,2 yr / $17M,2028,8500000
2026-27,CHI,Rob Dillingham,7,G,6'2,175,01/04/05,21.50,2,2024-08,USA,NC - Hickory,Kentucky,Chicago Bulls,4 yr / $28.5M,2027 +1,6889320
2026-27,CHI,Noa Essengue,24,F,6'8,200,12/18/06,19.54,1,2025-12,FRA,France - Orleans,Ratiopharm Ulm (Germany),Chicago Bulls,4 yr / $25.3M,2028 +1,5701200
2026-27,CHI,Josh Giddey,3,G,6'7,215,10/10/02,23.73,5,2021-06,AUS,Australia - Melbourne,Adelaide (Australia),Chicago Bulls,4 yr / $100M,2029,25000000
2026-27,CHI,Tre Jones,30,G,6'1,185,01/08/00,26.49,6,2020-41,USA,MN - Apple Valley,Duke,Chicago Bulls,3 yr / $24M,2027 +1,8000000
2026-27,CHI,Houston Mallette,,G,6'5,200,04/09/03,23.24,R,2026-ND,USA,CA - Newport Beach,Alabama,Alabama,Exhibit 10,,
2026-27,CHI,Mac McClung,5,G,6'2,185,01/06/99,27.50,4,2021-ND,USA,VA - Gate City,Texas Tech,Chicago Bulls,RFA,,
2026-27,CHI,Leonard Miller,11,F,6'10,220,11/26/03,22.61,3,2023-33,CAN,Canada - Scarborough,G League Ignite,Chicago Bulls,4 yr / $8.3M,2027,2406205
2026-27,CHI,Isaac Okoro,35,F,6'4,225,01/26/01,25.44,6,2020-05,USA,GA - Atlanta,Auburn,Chicago Bulls,3 yr / $33M,2027,11814314
2026-27,CHI,Norman Powell,,G,6'3,215,05/25/93,33.13,11,2015-46,USA,CA - San Diego,UCLA,Miami Heat,2 yr / $45M,2028,21951220
2026-27,CHI,Jaylin Sellers,,G,6'5,205,06/03/03,23.09,R,2026-ND,USA,GA - Columbus,Providence,Providence,Two-Way,,
2026-27,CHI,Jalen Smith,25,C,6'8,215,03/16/00,26.30,6,2020-10,USA,VA - Portsmouth,Maryland,Chicago Bulls,3 yr / $27M,2027,9428571
2026-27,CHI,Dailyn Swain,5,F,6'6,205,07/15/05,20.97,R,2026-15,USA,OH - Columbus,Texas,Texas,4 yr / $24M,2028 +2,4966680
2026-27,CHI,Patrick Williams,44,F,6'6,215,08/26/01,24.86,6,2020-04,USA,NC - Charlotte,Florida State,Chicago Bulls,5 yr / $90M,2028 +1,18000000
2026-27,CHI,Caleb Wilson,8,F,6'9,210,07/18/06,19.96,R,2026-04,USA,GA - Atlanta,North Carolina,North Carolina,4 yr / $48.5M,2028 +2,10686240
2026-27,CLE,Rashaun Agee,46,F,6'7,230,11/02/00,25.67,R,2026-ND,USA,IL - Chicago,Texas A&M,Texas A&M,Exhibit 10,,
2026-27,CLE,Jarrett Allen,31,C,6'9,245,04/21/98,28.21,9,2017-22,USA,CA - San Diego,Texas,Cleveland Cavaliers,3 yr / $90.7M,2029,28000000
2026-27,CLE,Thomas Bryant,3,C,6'9,250,07/31/97,28.94,9,2017-42,USA,NY - Rochester,Indiana,Cleveland Cavaliers,1 yr / $3.5M,2027,3524948
2026-27,CLE,Tristan Enaruna,21,F,6'7,220,06/26/01,25.02,1,2024-ND,NED,Netherlands - Almere,Cleveland State,Cleveland Cavaliers,Two-Way,,
2026-27,CLE,James Harden,1,G,6'5,220,08/26/89,36.87,17,2009-03,USA,CA - Compton,Arizona State,Cleveland Cavaliers,,,
2026-27,CLE,Xaivian Lee,,G,6'3,175,03/12/04,22.31,R,2026-ND,CAN,Canada - Toronto,Florida,Florida,Exhibit 10,,
2026-27,CLE,Sam Merrill,5,G,6'4,205,05/15/96,30.14,6,2020-60,USA,IA - Ames,Utah State,Cleveland Cavaliers,4 yr / $38M,2029,9160715
2026-27,CLE,Riley Minix,12,F,6'7,230,09/22/00,25.78,2,2024-ND,USA,FL - Vero Beach,Morehead State,Cleveland Cavaliers,Two-Way,,
2026-27,CLE,Donovan Mitchell,45,G,6'2,215,09/07/96,29.83,9,2017-13,USA,NY - Elmsford,Louisville,Cleveland Cavaliers,3 yr / $150M,2027 +1,50105628
2026-27,CLE,Evan Mobley,4,F,6'11,215,06/18/01,25.05,5,2021-03,USA,CA - San Diego,USC,Cleveland Cavaliers,5 yr / $269M,2030,50105628
2026-27,CLE,Craig Porter Jr.,9,G,6'1,180,02/26/00,26.36,3,2023-ND,USA,IN - Terre Haute,Wichita State,Cleveland Cavaliers,4 yr / $8M,2027,2406205
2026-27,CLE,Tyrese Proctor,24,G,6'4,185,04/01/04,22.26,1,2025-49,AUS,Australia - Sydney,Duke,Cleveland Cavaliers,4 yr / $8.7M,2028 +1,2150917
2026-27,CLE,Olivier Sarr,33,C,6'10,240,02/27/99,27.37,4,2021-ND,FRA,France - Niort,Kentucky,Cleveland Cavaliers,RFA,,
2026-27,CLE,Dennis Schroder,8,G,6'1,175,09/15/93,32.81,13,2013-17,GER,Germany - Braunschweig,Braunschweig (Germany),Cleveland Cavaliers,3 yr / $44.4M,2028,14809200
2026-27,CLE,Max Strus,2,F,6'5,215,03/28/96,30.27,7,2019-ND,USA,IL - Hickory Hills,DePaul,Cleveland Cavaliers,4 yr / $62.3M,2027,16660836
2026-27,CLE,Meleek Thomas,15,G,6'3,190,08/06/06,19.91,R,2026-34,USA,PA - Pittsburgh,Arkansas,Arkansas,4 yr / $9.3M,2029 +1,1357763
2026-27,CLE,Nae'Qwan Tomlin,35,F,6'8,210,12/10/00,25.57,2,2024-ND,USA,NY - Brooklyn,Memphis,Cleveland Cavaliers,2 yr / $3.1M,2027,2411090
2026-27,CLE,Jaylon Tyson,20,G,6'6,215,12/02/02,23.59,2,2024-20,USA,TX - Allen,California,Cleveland Cavaliers,4 yr / $16.1M,2027 +1,3658560
2026-27,CLE,Ernest Udeh Jr.,39,C,6'11,260,01/08/04,22.49,R,2026-ND,USA,FL - Orlando,Miami (FL),Miami (FL),Two-Way,,
2026-27,DAL,Max Christie,00,G,6'5,190,02/10/03,23.40,4,2022-35,USA,IL - Arlington Heights,Michigan State,Dallas Mavericks,4 yr / $32M,2027 +1,8285714
2026-27,DAL,Moussa Cisse,30,C,6'11,220,09/10/02,23.82,R,2025-ND,GUI,Guinea - Conakry,Memphis,Dallas Mavericks,RFA,,
2026-27,DAL,Sergio de Larrea,55,F,6'5,175,12/04/05,20.58,R,2026-25,ESP,Spain - Valladolid,Valencia (Spain),Valencia (Spain),4 yr / $16.3M,2028 +2,3183000
2026-27,DAL,Cooper Flagg,32,F,6'9,205,12/21/06,19.53,1,2025-01,USA,ME - Newport,Duke,Dallas Mavericks,4 yr / $62.7M,2027 +2,14517480
2026-27,DAL,Daniel Gafford,21,C,6'10,265,10/01/98,27.76,7,2019-38,USA,AR - El Dorado,Arkansas,Dallas Mavericks,3 yr / $54.4M,2029,17263584
2026-27,DAL,Kyrie Irving,11,G,6'2,195,03/23/92,34.29,14,2011-01,AUS,Australia - Melbourne,Duke,Dallas Mavericks,3 yr / $118M,2027 +1,39491282
2026-27,DAL,Vsevolod Ishchenko,13,F,6'6,190,02/10/04,21.39,R,2026-56,RUS,Russia - Rostov-on-Don,Lokomotiv Kuban (Russia),Lokomotiv Kuban (Russia),2nd Rd Pick,,
2026-27,MEM,AJ Johnson,8,G,6'6,160,12/01/04,21.59,2,2024-23,USA,CA - Fresno,Illawarra (Australia),Memphis Grizzlies,4 yr / $14.6M,2027 +1,3237120
2026-27,DAL,Morez Johnson Jr.,14,F,6'9,250,01/25/06,20.44,R,2026-09,USA,IL - Riverdale,Michigan,Michigan,4 yr / $30.8M,2028 +2,6756480
2026-27,DAL,Tobi Lawal,33,F,6'7,215,05/01/03,23.18,R,2026-48,ENG,England - London,Virginia Tech,Virginia Tech,,,
2026-27,DAL,Dereck Lively,2,C,7'1,230,02/12/04,22.39,3,2023-12,USA,PA - Philadelphia,Duke,Dallas Mavericks,4 yr / $22.3M,2027,7239131
2026-27,DAL,Naji Marshall,13,F,6'6,220,08/25/98,28.45,6,2020-ND,USA,NJ - Atlantic City,Xavier,Dallas Mavericks,3 yr / $27M,2027,9428571
2026-27,DAL,Caleb Martin,16,F,6'5,205,09/28/95,30.77,7,2019-ND,USA,NC - Winston-Salem,Nevada,Dallas Mavericks,4 yr / $35M,2027 +1,10001494
2026-27,DAL,Ryan Nembhard,9,G,5'11,180,03/10/03,23.32,1,2025-ND,CAN,Canada - Aurora,Gonzaga,Dallas Mavericks,2 yr / $2.5M,2027,2150917
2026-27,DAL,John Poulakidas,1,G,6'6,205,04/04/03,23.25,1,2025-ND,USA,IL - Naperville,Yale,Dallas Mavericks,Two-Way,,
2026-27,DAL,Tyler Smith,23,F,6'9,225,11/02/04,21.67,2,2024-33,USA,LA - New Orleans,G League Ignite,Dallas Mavericks,Two-Way,,
2026-27,DAL,Klay Thompson,31,G,6'5,220,02/08/90,36.41,13,2011-11,USA,CA - Los Angeles,Washington State,Dallas Mavericks,3 yr / $50M,2027,17460317
2026-27,DAL,PJ Washington,25,F,6'7,230,08/23/98,27.87,7,2019-12,USA,KY - Louisville,Kentucky,Dallas Mavericks,4 yr / $88.8M,2030,19813044
2026-27,DAL,Tarik Biberovic,,F,,,01/28/01,25.50,R,,,,,,2 yr / $6M,2028,3000000
2026-27,DEN,Marvin Bagley III,0,F,6'11,235,03/14/99,27.32,8,2018-02,USA,AZ - Tempe,Duke,Dallas Mavericks,1 yr / $3.5M,2027,3506659
2026-27,DEN,Christian Braun,0,G,6'6,220,04/17/01,25.22,4,2022-21,USA,KS - Burlington,Kansas,Denver Nuggets,5 yr / $125M,2031,21551726
2026-27,DEN,Trevon Brazile,7,F,6'9,225,01/07/03,23.49,R,2026-35,USA,MO - Springfield,Arkansas,Arkansas,2nd Rd Pick,,
2026-27,DEN,Giovanni Emejuru,,C,6'10,265,12/21/02,23.54,R,2026-ND,"ENG, ITA",England - Loughborough,East Carolina,East Carolina,Exhibit 10,,
2026-27,DEN,Aaron Gordon,32,F,6'8,235,09/16/95,30.81,12,2014-04,USA,CA - San Jose,Arizona,Denver Nuggets,3 yr / $104M,2028 +1,31978037
2026-27,DEN,DaRon Holmes II,14,F,6'9,225,08/15/02,23.89,1,2024-22,USA,KS - Overland Park,Dayton,Denver Nuggets,4 yr / $15.2M,2027 +1,3372120
2026-27,DEN,Bryce Hopkins,13,F,6'6,220,09/07/02,23.82,R,2026-49,USA,IL - Downers Grove,St. John's,St. John's,2nd Rd Pick,,
2026-27,DEN,Cam Johnson,23,F,6'8,210,03/03/96,30.34,7,2019-11,USA,PA - Moon Township,North Carolina,Denver Nuggets,4 yr / $94.5M,2027,23062500
2026-27,DEN,Nikola Jokic,15,C,6'11,285,02/19/95,31.38,11,2012-41,SRB,Serbia - Sombor,Mega Basket (Serbia),Denver Nuggets,5 yr / $276M,2027 +1,59033114
2026-27,DEN,Curtis Jones,1,G,6'3,195,12/04/01,24.58,1,2025-ND,USA,MN - Minneapolis,Iowa State,Denver Nuggets,RFA,,
2026-27,DEN,Spencer Jones,21,F,6'7,225,06/14/01,25.06,2,2024-ND,USA,KS - Shawnee Mission,Stanford,Denver Nuggets,RFA,,
2026-27,DEN,Tyus Jones,,G,6'1,196,05/10/96,30.17,10,2015-24,USA,MN - Apple Valley,Duke,Denver Nuggets,1 yr / $3.9M,2027,3876529
2026-27,DEN,Mark Mitchell Jr.,,F,6'9,230,09/01/03,22.84,R,2026-ND,USA,KS - Lansing,Missouri,Missouri,Exhibit 10,,
2026-27,DEN,Jamal Murray,27,G,6'4,215,02/23/97,29.36,9,2016-07,CAN,Canada - Kitchener,Kentucky,Denver Nuggets,4 yr / $208M,2029,50105628
2026-27,DEN,Aaron Nkrumah,,G,6'5,175,11/26/01,24.61,R,2026-ND,USA,MA - Worcester,Tennessee State,Tennessee State,Exhibit 10,,
2026-27,DEN,Zeke Nnaji,22,F,6'10,240,01/09/01,25.48,6,2020-22,USA,MN - Minneapolis,Arizona,Denver Nuggets,4 yr / $32M,2027 +1,7466667
